BASLIK,MARKA,TEMEL OZELLIKLER - Seri,MODEL,TEMEL OZELLIKLER - Donanim Paketi,TEMEL OZELLIKLER - Arac Turu,TEMEL OZELLIKLER - Govde Tipi,TEMEL OZELLIKLER - Segment,TEMEL OZELLIKLER - Model Yili,TEMEL OZELLIKLER - Ait Oldugu Ulke,TEMEL OZELLIKLER - Motor Tipi,TEMEL OZELLIKLER - Motorlu Tasit Vergisi,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Icten Yanmali) - Besleme Tipi,MOTOR (Icten Yanmali) - Silindir Adedi,MOTOR (Icten Yanmali) - Silindir Hacmi,MOTOR (Icten Yanmali) - Yakit Puskurtme,PERFORMANS - Azami Hiz,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gucu (Toplam),PERFORMANS - 0 - 100 Km Hizlanma,AGIRLIK & OLCULER - Agirlik,AGIRLIK & OLCULER - Genislik,AGIRLIK & OLCULER - Uzunluk,AGIRLIK & OLCULER - Yukseklik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,FRENLER & SUSPANSIYON - Park Freni Tipi,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani
2017 Volkswagen Passat 1.4 TSI 125 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1395 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,117 g/km,5.1 lt,,4.5 lt,6.1 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.4 TSI 125 PS DSG Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1395 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Yok,,Var,,117 g/km,5.1 lt,,4.5 lt,6.1 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.4 TSI 125 PS Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1367 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Var,,Var,,126 g/km,5.4 lt,,4.6 lt,6.9 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.4 TSI 125 PS Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1367 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Yok,,Var,,126 g/km,5.4 lt,,4.6 lt,6.9 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.6 TDI 120 PS Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1444 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Var,,Var,,109 g/km,4.2 lt,,3.8 lt,4.9 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.6 TDI 120 PS DSG Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1459 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,106 g/km,4.1 lt,,3.9 lt,4.6 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.6 TDI 120 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1459 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,106 g/km,4.1 lt,,3.9 lt,4.6 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.6 TDI 120 PS DSG Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1459 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Yok,,Var,,106 g/km,4.1 lt,,3.9 lt,4.6 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.6 TDI 120 PS Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1444 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Var,,Var,,109 g/km,4.2 lt,,3.8 lt,4.9 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 1.6 TDI 120 PS Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1444 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Yok,,Var,,109 g/km,4.2 lt,,3.8 lt,4.9 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 2.0 TDI 150 PS DSG Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),10613,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,218 km/s,340 nm,150 BG,8.7 saniye,1501 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,119 g/km,4.5 lt,,4.1 lt,5.3 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 2.0 TDI 150 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),10613,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,218 km/s,340 nm,150 BG,8.7 saniye,1501 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,119 g/km,4.5 lt,,4.1 lt,5.3 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 2.0 TDI 190 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),10613,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,235 km/s,400 nm,190 BG,7.7 saniye,1549 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,119 g/km,4.6 lt,,4.1 lt,5.4 lt,66 lt,Var,6 adet,5 yildiz
2017 Volkswagen Passat 2.0 TDI 240 PS 4M DSG Highline (4x4),Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2017,Almanya,Icten Yanmali (Standart),10613,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,240 km/s,500 nm,240 BG,6.1 saniye,1721 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,4x4 Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,139 g/km,5.3 lt,,4.6 lt,6.4 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 150 PS DSG Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,220 km/s,250 nm,150 BG,8.4 saniye,1413 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,118 g/km,5.1 lt,,4.5 lt,6.3 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 150 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,220 km/s,250 nm,150 BG,8.4 saniye,1413 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,118 g/km,5.1 lt,,4.5 lt,6.3 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 125 PS Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1367 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Var,,Var,,126 g/km,5.4 lt,,4.6 lt,6.9 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 125 PS DSG Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1395 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,117 g/km,5.1 lt,,4.5 lt,6.1 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 125 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1395 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,117 g/km,5.1 lt,,4.5 lt,6.1 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 125 PS DSG Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1395 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Yok,,Var,,117 g/km,5.1 lt,,4.5 lt,6.1 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 125 PS Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1367 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Var,,Var,,126 g/km,5.4 lt,,4.6 lt,6.9 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.4 TSI 125 PS Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Elektronik Dogrudan Enjeksiyon,208 km/s,200 nm,125 BG,9.7 saniye,1367 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Yok,,Var,,126 g/km,5.4 lt,,4.6 lt,6.9 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.6 TDI 120 PS Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1444 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Var,,Var,,109 g/km,4.2 lt,,3.8 lt,4.9 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.6 TDI 120 PS DSG Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1459 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,106 g/km,4.1 lt,,3.9 lt,4.6 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.6 TDI 120 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1459 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,106 g/km,4.1 lt,,3.9 lt,4.6 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.6 TDI 120 PS DSG Impression,Volkswagen,Passat,Passat,Impression,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1459 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Yok,,Var,,106 g/km,4.1 lt,,3.9 lt,4.6 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.6 TDI 120 PS DSG Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1459 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Yok,,Var,,106 g/km,4.1 lt,,3.9 lt,4.6 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.6 TDI 120 PS Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1444 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Var,,Var,,109 g/km,4.2 lt,,3.8 lt,4.9 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 1.6 TDI 120 PS Trendline,Volkswagen,Passat,Passat,Trendline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,206 km/s,250 nm,120 BG,10.8 saniye,1444 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Yok,Var,Var,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,215/60 R16,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,Var,Var,Yok,,Var,,109 g/km,4.2 lt,,3.8 lt,4.9 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 2.0 TDI 240 PS 4M DSG Highline (4x4),Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),11674,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,240 km/s,500 nm,240 BG,6.1 saniye,1721 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,4x4 Cekisli,Var,7 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,139 g/km,5.3 lt,,4.6 lt,6.4 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 2.0 TDI 150 PS DSG Comfortline,Volkswagen,Passat,Passat,Comfortline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),11674,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,218 km/s,340 nm,150 BG,8.7 saniye,1501 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Elektrikli,Halojen,Var,17 inc,Alasimli,55 %,215/55 R17,215 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,119 g/km,4.5 lt,,4.1 lt,5.3 lt,66 lt,Var,6 adet,5 yildiz
2018 Volkswagen Passat 2.0 TDI 150 PS DSG Highline,Volkswagen,Passat,Passat,Highline,Binek,Sedan,D,2018,Almanya,Icten Yanmali (Standart),11674,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,218 km/s,340 nm,150 BG,8.7 saniye,1501 kg,1832 mm,4767 mm,1456 mm,,586 lt,4.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,5.0,Elektrikli,Elektrikli,LED,Var,18 inc,Alasimli,45 %,235/45 R18,235 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,DSG (Yari Otm.),Otomatik,Var,Var,Var,Var,,Var,,119 g/km,4.5 lt,,4.1 lt,5.3 lt,66 lt,Var,6 adet,5 yildiz
