BASLIK,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,AGIRLIK & OLCULER - Agirlik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,FRENLER & SUSPANSIYON - Park Freni Tipi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari
2023 Fiat Egea 1.3 Multijet 95 HP Urban,Dizel,,,,,,,,,1240 kg,,520 lt,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 6d-FINAL,113 g/km,4.2 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.4 Fire 95 HP Easy Plus,Benzin,,,,,,,,,1150 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,Euro 6d-FINAL,150 g/km,6.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.4 Fire 95 HP Easy,Benzin,,,,,,,,,1150 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,Euro 6d-FINAL,150 g/km,6.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.4 Fire 95 HP Lounge,Benzin,,,,,,,,,1150 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,Euro 6d-FINAL,150 g/km,6.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.4 Fire 95 HP Urban,Benzin,,,,,,,,,1150 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,Euro 6d-FINAL,150 g/km,6.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.5 T4 Hibrit 130 HP Otomatik Easy,Benzin & Elektrik,,,,,,,,,1375 kg,,520 lt,,,,,,,,Onden Cekisli,,7 ileri,,Otomatik,,,,,,,Euro 6d-FINAL,117 g/km,5.1 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.5 T4 Hibrit 130 HP Otomatik Lounge,Benzin & Elektrik,,,,,,,,,1375 kg,,520 lt,,,,,,,,Onden Cekisli,,7 ileri,,Otomatik,,,,,,,Euro 6d-FINAL,117 g/km,5.1 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.5 T4 Hibrit 130 HP Otomatik Urban,Benzin & Elektrik,,,,,,,,,1375 kg,,520 lt,,,,,,,,Onden Cekisli,,7 ileri,,Otomatik,,,,,,,Euro 6d-FINAL,117 g/km,5.1 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.6 Multijet 130 HP DCT Easy,Dizel,,,,,,,,,1355 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,DCT (Yari Otm.),Otomatik,,,,,,,Euro 6d-FINAL,118 g/km,4.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.6 Multijet 130 HP DCT Lounge,Dizel,,,,,,,,,1355 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,DCT (Yari Otm.),Otomatik,,,,,,,Euro 6d-FINAL,118 g/km,4.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.6 Multijet 130 HP DCT Urban,Dizel,,,,,,,,,1355 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,DCT (Yari Otm.),Otomatik,,,,,,,Euro 6d-FINAL,118 g/km,4.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2023 Fiat Egea 1.6 Multijet 130 HP Urban,Dizel,,,,,,,,,1300 kg,,520 lt,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,Euro 6d-FINAL,118 g/km,4.5 lt,,,,50 lt,,,3 yildiz,,,,,,,,,,,
2015 Fiat Egea 1.3 Multijet 95 HP Easy,Dizel,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,Yok,,,Var,Euro 5,110 g/km,4.2 lt,,3.5 lt,5.4 lt,45 lt,,2 adet,,Yok,Var,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2015 Fiat Egea 1.3 Multijet 95 HP Urban,Dizel,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,Yok,Var,,Var,Euro 5,110 g/km,4.2 lt,,3.5 lt,5.4 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2015 Fiat Egea 1.4 Fire 95 HP Easy,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,2 adet,,Yok,Var,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2015 Fiat Egea 1.4 Fire 95 HP Urban,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2015 Fiat Egea 1.6 Multijet 120 HP Lounge,Dizel,,,,,,,,,1270 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,Euro 6,110 g/km,4.2 lt,,3.6 lt,5.2 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2015 Fiat Egea 1.6 Multijet 120 HP Urban,Dizel,,,,,,,,,1270 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,Euro 6,110 g/km,4.2 lt,,3.6 lt,5.2 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.3 Multijet 95 HP Easy,Dizel,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,,Yok,,Var,Euro 5,110 g/km,4.2 lt,,3.5 lt,5.4 lt,45 lt,,2 adet,,Yok,Var,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2016 Fiat Egea 1.3 Multijet 95 HP Urban,Dizel,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,,Var,,Var,Euro 5,110 g/km,4.2 lt,,3.5 lt,5.4 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.4 Fire 95 HP Easy,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Yok,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,2 adet,,Yok,Var,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2016 Fiat Egea 1.4 Fire 95 HP Lounge,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.4 Fire 95 HP Urban,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.6 E-Torq 110 HP Otomatik Lounge,Benzin,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,,Var,,Var,Euro 6,146 g/km,6.3 lt,,5.0 lt,8.5 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.6 E-Torq 110 HP Otomatik Urban,Benzin,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,,Var,,Var,Euro 6,146 g/km,6.3 lt,,5.0 lt,8.5 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.6 Multijet 120 HP DCT Lounge,Dizel,,,,,,,,,1295 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,DCT (Yari Otm.),Otomatik,Var,,,Var,,Var,Euro 6,102 g/km,3.9 lt,,3.5 lt,4.5 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.6 Multijet 120 HP DCT Urban,Dizel,,,,,,,,,1295 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,DCT (Yari Otm.),Otomatik,Var,,,Var,,Var,Euro 6,102 g/km,3.9 lt,,3.5 lt,4.5 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.6 Multijet 120 HP Lounge,Dizel,,,,,,,,,1270 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,110 g/km,4.2 lt,,3.6 lt,5.2 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Fiat Egea 1.6 Multijet 120 HP Urban,Dizel,,,,,,,,,1270 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,110 g/km,4.2 lt,,3.6 lt,5.2 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.3 Multijet 95 HP Easy,Dizel,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,,Yok,,Var,Euro 5,110 g/km,4.2 lt,,3.5 lt,5.4 lt,45 lt,,2 adet,,Yok,Var,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2017 Fiat Egea 1.3 Multijet 95 HP Lounge,Dizel,,,,,,,,,1290 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,,Var,,Var,Euro 6,99 g/km,3.7 lt,,3.3 lt,4.5 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.3 Multijet 95 HP Urban,Dizel,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,,Var,,Var,Euro 5,110 g/km,4.2 lt,,3.5 lt,5.4 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.4 Fire 95 HP Easy,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Yok,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,2 adet,,Yok,Var,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2017 Fiat Egea 1.4 Fire 95 HP Lounge,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.4 Fire 95 HP Urban,Benzin,,,,,,,,,1150 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,133 g/km,5.7 lt,,4.6 lt,7.7 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 E-Torq 110 HP Otomatik Lounge Plus,Benzin,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,,Var,,Var,Euro 6,146 g/km,6.3 lt,,5.0 lt,8.5 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 E-Torq 110 HP Otomatik Lounge,Benzin,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,,Var,,Var,Euro 6,146 g/km,6.3 lt,,5.0 lt,8.5 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 E-Torq 110 HP Otomatik Urban,Benzin,,,,,,,,,1205 kg,,520 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,,Var,,Var,Euro 6,146 g/km,6.3 lt,,5.0 lt,8.5 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 Multijet 120 HP DCT Lounge Plus,Dizel,,,,,,,,,1295 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,DCT (Yari Otm.),Otomatik,Var,,,Var,,Var,Euro 6,102 g/km,3.9 lt,,3.5 lt,4.5 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 Multijet 120 HP DCT Lounge,Dizel,,,,,,,,,1295 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,DCT (Yari Otm.),Otomatik,Var,,,Var,,Var,Euro 6,102 g/km,3.9 lt,,3.5 lt,4.5 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 Mjet 120 HP DCT Urban,Dizel,,,,,,,,,1295 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,DCT (Yari Otm.),Otomatik,Var,,,Var,,Var,Euro 6,102 g/km,3.9 lt,,3.5 lt,4.5 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 Multijet 120 HP Lounge Plus,Dizel,,,,,,,,,1270 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,110 g/km,4.2 lt,,3.6 lt,5.2 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 Multijet 120 HP Lounge,Dizel,,,,,,,,,1270 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,110 g/km,4.2 lt,,3.6 lt,5.2 lt,45 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Fiat Egea 1.6 Mjet 120 HP Urban,Dizel,,,,,,,,,1270 kg,,520 lt,4.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,Euro 6,110 g/km,4.2 lt,,3.6 lt,5.2 lt,45 lt,,6 adet,,Yok,Var,Var,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Ford Focus 1.0 EcoBoost 125 PS Titanium,Benzin,,,,,,,,,1306 kg,,372 lt,4.0,55 %,215/55 R16,215 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Var,Var,,,,117 g/km,5.1 lt,,4.4 lt,6.4 lt,55 lt,,6 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Ford Focus 1.0 EcoBoost 125 PS Trend X,Benzin,,,,,,,,,1306 kg,,421 lt,4.0,55 %,215/55 R16,215 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Var,Var,,,,117 g/km,5.1 lt,,4.4 lt,6.4 lt,55 lt,,4 adet,5 yildiz,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Ford Focus 1.6 TDCi 95 PS Trend X,Dizel,,,,,,,,,1345 kg,,421 lt,4.0,55 %,215/55 R16,215 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,,,117 g/km,4.5 lt,,3.7 lt,5.7 lt,53 lt,,4 adet,5 yildiz,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Ford Focus 1.6 TDCi 95 PS Trend,Dizel,,,,,,,,,1345 kg,,421 lt,4.0,55 %,205/55 R16,205 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,,,,,117 g/km,4.5 lt,,3.7 lt,5.7 lt,53 lt,,4 adet,5 yildiz,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2018 Ford Focus 1.5 TDCi 120 PS Otomatik Titanium,Dizel,,,,,,,,,1398 kg,,511 lt,4.0,,,,17 inc,Alasimli,Elektronik Park Freni | Otomatik Tutunma Fonksiyonu,Onden Cekisli,Var,8 ileri,Doner Vites Konsolu,Otomatik,Var,,Var,Var,Yok,Var,Euro 6.2,115 g/km,4.4 lt,,4.1 lt,4.9 lt,47 lt,Var,6 adet,5 yildiz,Var,,Var,Var,Otomatik Klima,,5.0,,,,Var
2018 Ford Focus 1.5 TDCi 120 PS Otomatik Trend X,Dizel,,,,,,,,,1398 kg,,511 lt,4.0,,,,16 inc,Alasimli,Elektronik Park Freni | Otomatik Tutunma Fonksiyonu,Onden Cekisli,Var,8 ileri,Doner Vites Konsolu,Otomatik,Var,,Var,Var,Yok,Var,Euro 6.2,115 g/km,4.4 lt,,4.1 lt,4.9 lt,47 lt,Yok,6 adet,5 yildiz,Var,,Var,Yok,Manuel Klima,,5.0,,,,Var
2018 Ford Focus 1.5 TDCi 120 PS Titanium,Dizel,,,,,,,,,1367 kg,,511 lt,4.0,,,,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,Yok,Var,Euro 6.2,90 g/km,3.4 lt,,3.2 lt,3.9 lt,47 lt,Var,6 adet,5 yildiz,Var,,Var,Var,Otomatik Klima,,5.0,,,,Var
2018 Ford Focus 1.5 TDCi 120 PS Trend X,Dizel,,,,,,,,,1367 kg,,511 lt,4.0,,,,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Var,Var,Yok,Var,Euro 6.2,90 g/km,3.4 lt,,3.2 lt,3.9 lt,47 lt,Yok,6 adet,5 yildiz,Var,,Var,Yok,Manuel Klima,,5.0,,,,Var
2018 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Titanium,Benzin,,,,,,,,,1312 kg,,511 lt,4.0,,,,17 inc,Alasimli,Elektronik Park Freni | Otomatik Tutunma Fonksiyonu,Onden Cekisli,Var,6 ileri,Doner Vites Konsolu,Otomatik,Var,,Yok,Var,Yok,Var,Euro 6.2,150 g/km,6.6 lt,,5.1 lt,9.1 lt,52 lt,Var,6 adet,5 yildiz,Var,,Var,Var,Otomatik Klima,,5.0,,,,Var
2018 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X,Benzin,,,,,,,,,1312 kg,,511 lt,4.0,,,,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Otomatik,Var,,Yok,Var,Yok,Var,Euro 6.2,150 g/km,6.6 lt,,5.1 lt,9.1 lt,52 lt,Yok,6 adet,5 yildiz,Var,,Var,Yok,Manuel Klima,,5.0,,,,Var
2018 Ford Focus 1.5 Ti-VCT 123 PS Titanium,Benzin,,,,,,,,,1312 kg,,511 lt,4.0,,,,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,Yok,Var,Euro 6.2,134 g/km,6.0 lt,,4.6 lt,8.1 lt,52 lt,Var,6 adet,5 yildiz,Var,,Var,Var,Otomatik Klima,,5.0,,,,Var
2018 Ford Focus 1.5 Ti-VCT 123 PS Trend X,Benzin,,,,,,,,,1312 kg,,511 lt,4.0,,,,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,Yok,Var,Euro 6.2,134 g/km,6.0 lt,,4.6 lt,8.1 lt,52 lt,Yok,6 adet,5 yildiz,Var,,Var,Yok,Manuel Klima,,5.0,,,,Var
2019 Ford Focus 1.5 EcoBlue 120 PS Otomatik Titanium,Dizel,,,,,,,,,1398 kg,,511 lt,,,,,,,,Onden Cekisli,,8 ileri,,Otomatik,,,,,,,Euro 6.2,115 g/km,4.4 lt,,4.1 lt,4.9 lt,47 lt,,,5 yildiz,,,,,,,,,,,
2019 Ford Focus 1.5 EcoBlue 120 PS Otomatik Trend X,Dizel,,,,,,,,,1398 kg,,511 lt,,,,,,,,Onden Cekisli,,8 ileri,,Otomatik,,,,,,,Euro 6.2,115 g/km,4.4 lt,,4.1 lt,4.9 lt,47 lt,,,5 yildiz,,,,,,,,,,,
2019 Ford Focus 1.5 EcoBlue 120 PS Titanium,Dizel,,,,,,,,,1367 kg,,511 lt,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,Euro 6.2,90 g/km,3.4 lt,,3.2 lt,3.9 lt,47 lt,,,5 yildiz,,,,,,,,,,,
