TEMEL BILGILER - Baslik,TEMEL BILGILER - Arac Turu,TEMEL BILGILER - Govde Tipi,TEMEL BILGILER - Segment,TEMEL BILGILER - Marka,TEMEL BILGILER - Seri,TEMEL BILGILER - Model,TEMEL BILGILER - Donanim Paketi,TEMEL BILGILER - Model Yili,TEMEL BILGILER - Uretim Ulkesi,MOTOR - Yakit Turu,MOTOR - Yakit Tipi,MOTOR - Motor Tipi,MOTOR (Fosil Yakit) - Besleme Tipi,MOTOR (Fosil Yakit) - Silindir Adedi,MOTOR (Fosil Yakit) - Silindir Hacmi,MOTOR (Fosil Yakit) - Yakit Puskurtme,MOTOR (Elektrik) - Motor Gucu,MOTOR (Elektrik) - Batarya Kapasitesi,MOTOR (Elektrik) - Batarya Tipi,SANZIMAN - Sanziman Turu,SANZIMAN - Sanziman Modeli,SANZIMAN - Vites Sayisi,PERFORMANS - PERFORMANS PUANI,PERFORMANS - Beygir Gucu,PERFORMANS - Azami Tork,PERFORMANS - Azami Hiz,PERFORMANS - 0-100 Km Hizlanma,CEKIS SISTEMI - Cekis Turu,CEKIS SISTEMI - Cekis Kontrol Sistemi,BOYUTLAR - KONFOR PUANI,BOYUTLAR - Ic Hacim,BOYUTLAR - Uzunluk,BOYUTLAR - Genislik,BOYUTLAR - Yukseklik,BOYUTLAR - Ağirlik,BOYUTLAR - Bagaj Hacmi (Standart),BOYUTLAR - Bagaj Hacmi (Genisletilmis),LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Taban Genisliği,DIS DONANIM - Kapi Sayisi,DIS DONANIM- Far Tipi,DIS DONANIM- Sis Farlari,IC DONANIM - Koltuk Sayisi,IC DONANIM - Doseme Tipi,IC DONANIM - Surucu Koltuğu Ayarlari,IC DONANIM - On Yolcu Koltuğu Ayarlari,IC DONANIM - Klima,SENSORLER - Far Sensoru,SENSORLER - Yağmur Sensoru,SENSORLER - Lastik Basinc Sensoru,SENSORLER - Park Sensoru & Yardimcisi,GUVENLIK - GUVEN PUANI,GUVENLIK - Hava Yastiği Adedi,GUVENLIK - NCAP/ANCAP Puani,EKONOMI - EKO PUANI,EKONOMI - Tahmini Bakim Masrafi,EKONOMI - Yillik MTV Tutari,EKONOMI - Ortalama Yakit Tuketimi (100 km),EKONOMI - Sehir Ici Tuketim (100 km),EKONOMI - Sehir Disi Tuketim (100 km),EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt),EKONOMI (Elektrik) - Menzil (WLTP - Birlesik),EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici),EKONOMI (Elektrik) - Sarj Suresi,EMISYON - Emisyon Standardi,EMISYON - Ortalama Emisyon
Hyundai i30 1.6 CRDi 128 PS Otomatik Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Yok,71.0,61.0,4300,1780,1470,1385,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,71.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Hyundai i30 1.6 CRDi Otomatik Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1591,Cok Noktadan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,71.0,61.0,4300,1780,1470,1385,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas & Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,95.0,7,5,71.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Hyundai i30 1.6 CRDi Otomatik Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1591,Cok Noktadan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,71.0,61.0,4300,1780,1470,1385,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Yok,Var,90.0,6,5,71.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Hyundai i30 1.6 CRDi 128 PS Blue Drive,Binek,Hatchback,C,Hyundai,i30,I30,Blue Drive,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,73.0,128,260,197,10.9,Onden Cekisli,Yok,70.0,61.0,4300,1780,1470,1365,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Yok,90.0,6,5,90.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
Hyundai i30 1.6 CRDi 128 PS Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,73.0,128,260,197,10.9,Onden Cekisli,Yok,70.0,61.0,4300,1780,1470,1365,378,1316,205/55 R16,16,55%,205,5,LED,Var,5,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,95.0,7,5,90.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
Hyundai i30 1.6 CRDi 128 PS Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,73.0,128,260,197,10.9,Onden Cekisli,Yok,70.0,61.0,4300,1780,1470,1365,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,90.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
Hyundai i30 1.6 CRDi Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1591,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,73.0,128,260,197,10.9,Onden Cekisli,Var,70.0,61.0,4300,1780,1470,1365,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas & Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,95.0,7,5,90.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
Hyundai i30 1.6 CRDi Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1591,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,73.0,128,260,197,10.9,Onden Cekisli,Var,70.0,61.0,4300,1780,1470,1365,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Yok,Var,90.0,6,5,90.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
Hyundai i30 1.6 CRDi 136 PS Blue Drive,Binek,Hatchback,C,Hyundai,i30,I30,Blue Drive,2016,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,74.0,136,260,197,10.2,Onden Cekisli,Var,66.0,61.0,4300,1780,1470,1364,378,1316,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Yok,90.0,6,5,93.0,92.0,3.661,3.93,4.20,3.40,53,,,,EURO 6,94
Hyundai i30 1.6 CRDi 136 PS Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2016,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,74.0,136,260,197,10.2,Onden Cekisli,Var,70.0,61.0,4300,1780,1470,1364,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,91.0,92.0,3.661,4.29,4.70,3.60,53,,,,EURO 6,104
Hyundai i30 1.6 CRDi 136 PS Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2016,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,74.0,136,260,197,10.2,Onden Cekisli,Var,75.0,61.0,4300,1780,1470,1364,378,1316,225/45 R17,17,45%,225,5,LED,Var,5,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,95.0,7,5,90.0,92.0,3.661,4.29,4.70,3.60,53,,,,EURO 6,104
Hyundai i30 1.6 CRDi 136 PS DCT Blue Drive,Binek,Hatchback,C,Hyundai,i30,I30,Blue Drive,2016,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,DCT (YO),6 ileri,77.0,136,300,200,10.6,Onden Cekisli,Var,67.0,61.0,4300,1780,1470,1391,378,1316,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Yok,90.0,6,5,76.0,62.0,3.661,4.39,4.60,3.90,53,,,,EURO 6,109
Hyundai i30 1.6 CRDi 136 PS DCT Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2016,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,DCT (YO),6 ileri,77.0,136,300,200,10.6,Onden Cekisli,Var,71.0,61.0,4300,1780,1470,1391,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,74.0,62.0,3.661,4.70,5.10,4.00,53,,,,EURO 6,115
Hyundai i30 1.6 CRDi 136 PS DCT Style Design Pack,Binek,Hatchback,C,Hyundai,i30,I30,Style Design Pack,2016,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,DCT (YO),6 ileri,77.0,136,300,200,10.6,Onden Cekisli,Var,71.0,61.0,4300,1780,1470,1391,378,1316,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,74.0,62.0,3.661,4.70,5.10,4.00,53,,,,EURO 6,115
Hyundai i30 1.6 CRDi 136 PS DCT Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2016,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,DCT (YO),6 ileri,77.0,136,300,200,10.6,Onden Cekisli,Var,76.0,61.0,4300,1780,1470,1391,378,1316,225/45 R17,17,45%,225,5,LED,Var,5,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,95.0,7,5,72.0,62.0,3.661,4.70,5.10,4.00,53,,,,EURO 6,115
Hyundai i30 1.4 MPI 98 PS Blue Drive,Binek,Hatchback,C,Hyundai,i30,I30,Blue Drive,2015,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1396,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,59.0,98,137,182,13.2,Onden Cekisli,Yok,61.0,61.0,4300,1780,1470,1260,378,1316,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Yok,89.0,6,5,90.0,95.0,3.661,6.12,7.20,4.60,53,,,,EURO 5,130
Hyundai i30 1.4 MPI 100 PS Blue Drive,Binek,Hatchback,C,Hyundai,i30,I30,Blue Drive,2016,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1368,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,60.0,100,134,183,12.7,Onden Cekisli,Var,61.0,61.0,4300,1780,1470,1254,378,1316,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Yok,88.0,6,5,90.0,95.0,3.661,6.11,7.10,4.70,53,,,,EURO 6,129
Hyundai i30 1.6 GDI 135 PS DCT Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2016,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,GDI (Dogrudan Enjeksiyon),,,,Otomatik,DCT (YO),6 ileri,68.0,135,164,192,10.7,Onden Cekisli,Var,67.0,61.0,4300,1780,1470,1305,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,89.0,6,5,70.0,62.0,3.661,6.38,7.50,4.80,53,,,,EURO 6,136
Hyundai i30 1.6 GDI 135 PS DCT Style Design Pack,Binek,Hatchback,C,Hyundai,i30,I30,Style Design Pack,2016,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,GDI (Dogrudan Enjeksiyon),,,,Otomatik,DCT (YO),6 ileri,68.0,135,164,192,10.7,Onden Cekisli,Var,67.0,61.0,4300,1780,1470,1305,378,1316,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,89.0,6,5,70.0,62.0,3.661,6.38,7.50,4.80,53,,,,EURO 6,136
Hyundai i30 1.6 GDI 135 PS DCT Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2016,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,GDI (Dogrudan Enjeksiyon),,,,Otomatik,DCT (YO),6 ileri,68.0,135,164,192,10.7,Onden Cekisli,Var,72.0,61.0,4300,1780,1470,1305,378,1316,225/45 R17,17,45%,225,5,LED,Var,5,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,94.0,7,5,69.0,62.0,3.661,6.38,7.50,4.80,53,,,,EURO 6,136
Hyundai i30 1.6 GDI 135 PS Otomatik Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2015,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,Cok Noktadan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,67.0,135,164,192,11.0,Onden Cekisli,Yok,67.0,61.0,4300,1780,1470,1300,378,1316,205/55 R16,16,55%,205,5,LED,Var,5,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,94.0,7,5,68.0,62.0,3.661,7.47,9.10,5.30,53,,,,EURO 5,157
Hyundai i30 1.6 GDI Otomatik Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2014,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,Cok Noktadan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,67.0,135,164,192,11.0,Onden Cekisli,Var,67.0,61.0,4300,1780,1470,1300,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas & Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,94.0,7,5,68.0,62.0,3.661,7.47,9.10,5.30,53,,,,EURO 5,157
Hyundai i30 1.6 GDI 135 PS Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,"2015, 2016",Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,GDI (Dogrudan Enjeksiyon),,,,Manuel,Manuel,6 ileri,68.0,135,164,195,9.9,Onden Cekisli,Var,66.0,61.0,4300,1780,1470,1271,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,89.0,6,5,87.0,92.0,3.661,6.38,7.70,4.60,53,,,,EURO 6,134
Hyundai i30 1.6 GDI 135 PS Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,"2015, 2016",Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,GDI (Dogrudan Enjeksiyon),,,,Manuel,Manuel,6 ileri,68.0,135,164,195,9.9,Onden Cekisli,Var,71.0,61.0,4300,1780,1470,1271,378,1316,225/45 R17,17,45%,225,5,LED,Var,5,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,94.0,7,5,85.0,92.0,3.661,6.38,7.70,4.60,53,,,,EURO 6,134
Hyundai i30 1.6 GDI 135 PS Blue Drive,Binek,Hatchback,C,Hyundai,i30,I30,Blue Drive,2015,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,68.0,135,164,195,9.9,Onden Cekisli,Yok,66.0,61.0,4300,1780,1470,1268,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Yok,89.0,6,5,86.0,92.0,3.661,6.59,8.00,4.70,53,,,,EURO 5,139
Hyundai i30 1.6 GDI 135 PS Otomatik Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2015,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,Cok Noktadan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,69.0,135,164,195,9.9,Onden Cekisli,Yok,67.0,61.0,4300,1780,1470,1300,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,89.0,6,5,68.0,62.0,3.661,7.47,9.10,5.30,53,,,,EURO 5,157
Hyundai i30 1.6 GDI Elite,Binek,Hatchback,C,Hyundai,i30,I30,Elite,2014,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,68.0,135,164,195,9.9,Onden Cekisli,Var,66.0,61.0,4300,1780,1470,1268,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas & Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,94.0,7,5,86.0,92.0,3.661,6.59,8.00,4.70,53,,,,EURO 5,139
Hyundai i30 1.6 GDI Otomatik Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2014,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,Cok Noktadan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,68.0,135,164,195,9.9,Onden Cekisli,Var,66.0,61.0,4300,1780,1470,1268,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Yok,Var,89.0,6,5,70.0,62.0,3.661,6.59,8.00,4.70,53,,,,EURO 5,139
Hyundai i30 1.6 GDI Style,Binek,Hatchback,C,Hyundai,i30,I30,Style,2014,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1591,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,68.0,135,164,195,9.9,Onden Cekisli,Var,66.0,61.0,4300,1780,1470,1268,378,1316,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Yok,Var,89.0,6,5,86.0,92.0,3.661,6.59,8.00,4.70,53,,,,EURO 5,139
Hyundai i30 1.6 Turbo GDI 186 PS Sport,Binek,Hatchback,C,Hyundai,i30,I30,Sport,2016,Guney Kore,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Turbo,4,1591,GDI (Dogrudan Enjeksiyon),,,,Manuel,Manuel,6 ileri,82.0,186,265,219,8.0,Onden Cekisli,Var,78.0,61.0,4300,1780,1470,1367,378,1316,225/40 R18,18,40%,225,5,LED,Var,5,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,95.0,7,5,79.0,89.0,3.661,8.09,9.60,6.00,53,,,,EURO 6,169
Kia Ceed 1.6 CRDi 128 PS Otomatik Comfort,Binek,Hatchback,C,Kia,Ceed,Ceed,Comfort,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,71.0,61.0,4310,1780,1470,1385,380,1318,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,90.0,6,5,71.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6 CRDi 128 PS Otomatik Concept,Binek,Hatchback,C,Kia,Ceed,Ceed,Concept,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,71.0,61.0,4310,1780,1470,1385,380,1318,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,90.0,6,5,71.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6 CRDi 128 PS Otomatik Concept Plus,Binek,Hatchback,C,Kia,Ceed,Ceed,Concept Plus,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,76.0,61.0,4310,1780,1470,1385,380,1318,225/45 R17,17,45%,225,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,70.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6 CRDi 128 PS Otomatik Premium,Binek,Hatchback,C,Kia,Ceed,Ceed,Premium,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,76.0,61.0,4310,1780,1470,1385,380,1318,225/45 R17,17,45%,225,5,LED,Var,5,Kumas,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,70.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6L Dizel 128 PS Otomatik Comfort,Binek,Hatchback,C,Kia,Ceed,Ceed 1.6L Dizel,Comfort,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,73.0,61.0,4310,1780,1470,1385,380,1318,225/45 R16,16,45%,225,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,90.0,6,5,71.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6L Dizel 128 PS Otomatik Concept,Binek,Hatchback,C,Kia,Ceed,Ceed 1.6L Dizel,Concept,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,73.0,61.0,4310,1780,1470,1385,380,1318,225/45 R16,16,45%,225,5,Halojen,Var,5,Kumas,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Yok,90.0,6,5,71.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6L Dizel 128 PS Otomatik Concept Plus,Binek,Hatchback,C,Kia,Ceed,Ceed 1.6L Dizel,Concept Plus,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,76.0,61.0,4310,1780,1470,1385,380,1318,225/45 R17,17,45%,225,5,Halojen,Var,5,Kumas,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,70.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6L Dizel 128 PS Otomatik Premium,Binek,Hatchback,C,Kia,Ceed,Ceed 1.6L Dizel,Premium,2014,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Otomatik,Tork Konvertörlü,6 ileri,72.0,128,260,190,11.7,Onden Cekisli,Var,76.0,61.0,4310,1780,1470,1385,380,1318,225/45 R17,17,45%,225,5,Halojen,Var,5,Kumas,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,70.0,62.0,3.661,6.07,7.20,4.50,53,,,,EURO 5,145
Kia Ceed 1.6 CRDi 128 PS Comfort,Binek,Hatchback,C,Kia,Ceed,Ceed,Comfort,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,74.0,128,260,197,10.9,Onden Cekisli,Var,71.0,61.0,4310,1780,1470,1375,380,1318,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,90.0,6,5,90.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
Kia Ceed 1.6 CRDi 128 PS Concept,Binek,Hatchback,C,Kia,Ceed,Ceed,Concept,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,74.0,128,260,197,10.9,Onden Cekisli,Var,71.0,61.0,4310,1780,1470,1375,380,1318,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,90.0,6,5,90.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
Kia Ceed 1.6 CRDi 128 PS Concept Plus,Binek,Hatchback,C,Kia,Ceed,Ceed,Concept Plus,2015,Guney Kore,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1582,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,74.0,128,260,197,10.9,Onden Cekisli,Var,74.0,61.0,4310,1780,1470,1375,380,1318,205/55 R17,17,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,90.0,6,5,89.0,92.0,3.661,4.66,5.20,3.80,53,,,,EURO 5,114
