BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari
Volkswagen Golf 1.4 TSI BMT 122 PS Comfortline;Volkswagen;Golf;Golf;Comfortline;2014, 2015;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;203;200;122;9,3;1225;1799;4255;1452;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;120;5,65;4,3;6,6;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 122 PS Highline;Volkswagen;Golf;Golf;Highline;2014, 2015;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;203;200;122;9,3;1225;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;120;5,65;4,3;6,6;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.2 TSI BMT 110 PS Comfortline;Volkswagen;Golf;Golf;Comfortline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1197;Elektronik Dogrudan Enjeksiyon;;;;;;;;1882;195;175;110;9,9;1210;1799;4255;1452;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;114;5,33;4,2;6,1;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.2 TSI BMT 110 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1197;Elektronik Dogrudan Enjeksiyon;;;;;;;;1882;195;175;110;9,9;1229;1799;4255;1452;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 5;112;5,28;4,3;5,9;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI ACT BMT 150 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;216;250;150;8,2;1290;1799;4255;1452;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 5;110;5,17;4,2;5,8;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Bi-Xenon; Var
Volkswagen Golf 1.4 TSI ACT BMT 150 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;216;250;150;8,2;1290;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 5;110;5,17;4,2;5,8;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 125 PS Comfortline;Volkswagen;Golf;Golf;Comfortline;2015, 2016, 2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;204;200;125;9,1;1225;1799;4255;1452;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;120;5,7;4,3;6,7;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 125 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2015, 2016, 2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;204;200;125;9,1;1249;1799;4255;1452;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 5;116;5,44;4,3;6,2;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 125 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2015, 2016, 2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;204;200;125;9,1;1249;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 5;116;5,44;4,3;6,2;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 125 PS Highline;Volkswagen;Golf;Golf;Highline;2015, 2016, 2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;204;200;125;9,1;1225;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;120;5,7;4,3;6,7;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI BMT 110 PS Comfortline;Volkswagen;Golf;Golf;Comfortline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;195;250;110;10,5;1299;1799;4255;1452;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;99;4,14;3,5;4,5;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI BMT 110 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;195;250;110;10,5;1317;1799;4255;1452;380;437;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 5;102;4,13;3,6;4,4;50;7;5;Yok;Var;Yok;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI BMT 110 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;195;250;110;10,5;1317;1799;4255;1452;380;437;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 5;102;4,13;3,6;4,4;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI BMT 110 PS Highline;Volkswagen;Golf;Golf;Highline;2015, 2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;195;250;110;10,5;1299;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;99;4,14;3,5;4,5;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.2 TSI BMT 110 PS DSG Allstar;Volkswagen;Golf;Golf;Allstar;2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1197;Elektronik Dogrudan Enjeksiyon;;;;;;;;1882;195;175;110;9,9;1229;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;112;5,28;4,3;5,9;50;7;5;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 125 PS Allstar;Volkswagen;Golf;Golf;Allstar;2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;204;200;125;9,1;1225;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;120;5,7;4,3;6,7;50;7;5;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 125 PS DSG Allstar;Volkswagen;Golf;Golf;Allstar;2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;204;200;125;9,1;1249;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;116;5,44;4,3;6,2;50;7;5;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI 110 PS Allstar;Volkswagen;Golf;Golf;Allstar;2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;195;250;110;10,5;1299;1799;4255;1452;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;99;4,14;3,5;4,5;50;7;5;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI 110 PS DSG Allstar;Volkswagen;Golf;Golf;Allstar;2016, 2017;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;195;250;110;10,5;1317;1799;4255;1452;380;437;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;102;4,13;3,6;4,4;50;7;5;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.0 TSI BMT 110 PS Comfortline;Volkswagen;Golf;Golf;Comfortline;2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Elektronik Dogrudan Enjeksiyon;;;;;;;;1882;196;200;110;9,9;1320;1790;4258;1492;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;122;5,74;4,7;6,4;50;7;5;Var;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.0 TSI BMT 110 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Elektronik Dogrudan Enjeksiyon;;;;;;;;1882;196;200;110;9,9;1353;1790;4258;1492;380;437;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;120;5,58;4,7;6,1;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.4 TSI BMT 150 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;216;250;150;8,2;1369;1790;4258;1492;380;1237;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;128;5,9;4,8;6,6;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Bi-Xenon; Var
Volkswagen Golf 1.4 TSI BMT 150 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1395;Elektronik Dogrudan Enjeksiyon;;;;;;;;3661;216;250;150;8,2;1369;1790;4258;1492;380;1237;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;128;5,9;4,8;6,6;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.6 TDI BMT 115 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;198;250;115;10,5;1444;1790;4258;1492;380;1270;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;115;4,59;4,3;4,6;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI BMT 115 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;198;250;115;10,5;1444;1790;4258;1492;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;115;4,59;4,3;4,6;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.6 TDI BMT 115 PS Highline;Volkswagen;Golf;Golf;Highline;2017, 2018;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;198;250;115;10,2;1424;1790;4258;1492;380;1270;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;115;4,65;4,1;4,9;50;7;5;Var;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.0 TSI 110 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2018, 2019;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Elektronik Dogrudan Enjeksiyon;;;;;;;;1882;196;200;110;9,9;1353;1790;4258;1492;380;437;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;120;5,58;4,7;6,1;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.0 TSI 110 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2019, 2020;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Elektronik Dogrudan Enjeksiyon;;;;;;;;3372;196;200;110;9,9;1353;1790;4258;1492;380;437;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;120;5,58;4,7;6,1;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.5 TSI ACT 150 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2019, 2020;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1498;Direkt Enjeksiyon;;;;;;;;6314;216;250;150;8,3;1298;1790;4258;1492;380;1237;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;112;5,33;4,2;6,1;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.5 TSI ACT 150 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2019, 2020;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1498;Direkt Enjeksiyon;;;;;;;;6314;216;250;150;8,3;1298;1790;4258;1492;380;1237;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;112;5,33;4,2;6,1;50;7;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.6 TDI 115 PS DSG Comfortline;Volkswagen;Golf;Golf;Comfortline;2019, 2020;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;6314;198;250;115;10,5;1343;1790;4258;1492;380;437;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;105;4,18;3,9;4,2;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.6 TDI 115 PS DSG Highline;Volkswagen;Golf;Golf;Highline;2019;Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;6314;198;250;115;10,5;1343;1790;4258;1492;380;437;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;105;4,18;3,9;4,2;50;7;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf 1.0 eTSI 110 PS DSG Life;Volkswagen;Golf;Golf;Life;2021, 2022, 2023;Almanya;Fosil Yakıt;Binek;Hatchback;C;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;3;1000;Direkt Enjeksiyon;;;;;;;;3372;202;200;110;10,2;1302;1789;4286;1491;380;1237;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;112;5,16;4,6;5,4;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.0 eTSI 110 PS DSG R-Line;Volkswagen;Golf;Golf;R-Line;2021, 2022, 2023;Almanya;Fosil Yakıt;Binek;Hatchback;C;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;3;1000;Direkt Enjeksiyon;;;;;;;;3372;202;200;110;10,2;1302;1789;4286;1491;380;1237;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;112;5,16;4,6;5,4;50;7;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.0 eTSI 110 PS DSG Style;Volkswagen;Golf;Golf;Style;2021, 2022, 2023;Almanya;Fosil Yakıt;Binek;Hatchback;C;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;3;1000;Direkt Enjeksiyon;;;;;;;;3372;202;200;110;10,2;1302;1789;4286;1491;380;1237;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;112;5,16;4,6;5,4;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.0 eTSI 150 PS DSG R-Line;Volkswagen;Golf;Golf;R-Line;2021;Almanya;Fosil Yakıt;Binek;Hatchback;C;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;4;1000;Direkt Enjeksiyon;;;;;;;;6314;224;250;150;8,5;1366;1789;4286;1491;380;1237;5;225/40 R18;225;40%;18;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;122;5,69;4,7;6,3;50;7;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.0 eTSI 150 PS DSG Style;Volkswagen;Golf;Golf;Style;2021;Almanya;Fosil Yakıt;Binek;Hatchback;C;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;4;1000;Direkt Enjeksiyon;;;;;;;;6314;224;250;150;8,5;1366;1789;4286;1491;380;1237;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;122;5,69;4,7;6,3;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.5 eTSI 150 PS DSG R-Line;Volkswagen;Golf;Golf;R-Line;2022, 2023;Almanya;Fosil Yakıt;Binek;Hatchback;C;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;4;1000;Direkt Enjeksiyon;;;;;;;;8421;224;250;150;8,5;1366;1789;4286;1491;380;1237;5;225/40 R18;225;40%;18;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;122;5,69;4,7;6,3;50;7;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf 1.5 eTSI 150 PS DSG Style;Volkswagen;Golf;Golf;Style;2022, 2023;Almanya;Fosil Yakıt;Binek;Hatchback;C;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;4;1000;Direkt Enjeksiyon;;;;;;;;8421;224;250;150;8,5;1366;1789;4286;1491;380;1237;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;122;5,69;4,7;6,3;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; LED; Var
Volkswagen Golf GTI 2.0 TSI BMT 220 PS DSG GTI;Volkswagen;Golf Gti;Golf;GTI;2015;Almanya;Fosil Yakıt;Binek;Coupe;C;Icten Yanmali (Standart);Benzin;Turbo;4;1984;Elektronik Dogrudan Enjeksiyon;;;;;;;;10613;244;350;220;6,5;1370;1790;4268;1442;380;1270;5;225/40 R18;225;40%;18;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 5;148;6,94;5,3;8,1;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Volkswagen Golf GTI 2.0 TSI BMT 230 PS DSG GTI Performance;Volkswagen;Golf Gti;Golf;GTI Performance;2016;Almanya;Fosil Yakıt;Binek;Coupe;C;Icten Yanmali (Standart);Benzin;Turbo;4;1984;Elektronik Dogrudan Enjeksiyon;;;;;;;;10613;248;350;230;6,4;1402;1799;4268;1442;380;1270;5;225/40 R18;225;40%;18;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 6;147;7,05;5,4;8,2;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Citroen Grand C4 Picasso 1.6 e-HDi 115 HP Intensive;Citroen;Grand C4 Picasso;Grand C4 Picasso;Intensive;2014;Fransa;Fosil Yakıt;SUV;MPV;D;Icten Yanmali (Standart);Dizel;Degisken Geometrili Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;189;270;115;12,6;1320;1800;4590;1630;645;Koltuklar Katlanmıyor;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Otomatik;6 ileri;ETG6 (YO);EURO 5;104;4,18;3,7;4,4;55;6;5;Var;Yok;Var;Var;Otomatik Klima;Kumas;7;Manuel;Manuel; LED; Var
