BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;EKONOMI - Bakim Masrafi (Tahmini);PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari;Performance_Score;Ic_Hacim_Score;Konfor_Score;Guvenlik_Score;Eko_Score;Maintenance_Score;GLOBAL_SCORE
Volkswagen Passat 1.6 TDI BMT 105 PS Comfortline;Volkswagen;Passat;Passat;Comfortline;2014;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;195;250;105;12.2;1499;1820;4769;1470;565;1152;5;215/55 R16;215;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;114;4.66;3.80;5.20;70;5;5;Var;Yok;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Manuel;Halojen;Var;80;5134;1601;501;73;85;1175
Volkswagen Passat 1.6 TDI BMT 105 PS Exclusive;Volkswagen;Passat;Passat;Exclusive;2014;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Elektronik Dogrudan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;195;250;105;12.2;1499;1820;4769;1470;565;1152;5;235/45 R17;235;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;114;4.66;3.80;5.20;70;5;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;Halojen;Var;80;5134;1617;501;73;85;1175
Volkswagen Passat 1.6 TDI BMT 105 PS Highline;Volkswagen;Passat;Passat;Highline;2014;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;195;250;105;12.2;1499;1820;4769;1470;565;1152;5;235/45 R17;235;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;114;4.66;3.80;5.20;70;5;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;Halojen;Var;80;5134;1617;501;73;85;1175
Volkswagen Passat 1.6 TDI 120 PS DSG Business;Volkswagen;Passat;Passat;Business;2019, 2020;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;205;250;120;10.8;1500;1832;4775;1442;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;109;4.39;3.90;4.60;59;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;LED;Var;98;5076;1583;504;72;81;1169
Volkswagen Passat 1.6 TDI 120 PS DSG Impression;Volkswagen;Passat;Passat;Impression;2018, 2019, 2020;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;205;250;120;10.8;1500;1832;4775;1442;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;109;4.39;3.90;4.60;59;6;5;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Elektronik;Elektronik;LED;Var;98;5076;1583;504;72;81;1169
Volkswagen Passat 1.6 TDI 120 PS DSG Elegance;Volkswagen;Passat;Passat;Elegance;2019, 2020;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;205;250;120;10.8;1500;1832;4775;1442;586;1152;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;109;4.39;3.90;4.60;59;6;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Elektronik;Elektronik;LED;Var;98;5076;1597;504;72;81;1169
Volkswagen Passat 1.6 TDI 120 PS DSG Passat;Volkswagen;Passat;Passat;Passat;2019;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;205;250;120;10.8;1500;1832;4775;1442;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;109;4.39;3.90;4.60;59;6;5;Var;Var;Var;Yok;Otomatik Klima;Kumas;5;Elektronik;Elektronik;LED;Var;98;5076;1583;504;72;81;1169
Volkswagen Passat 1.6 TDI 120 PS DSG Comfortline;Volkswagen;Passat;Passat;Comfortline;2017, 2018, 2019;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;206;250;120;10.8;1459;1832;4767;1456;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;107;4.49;4.00;4.70;66;9;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;100;5116;1595;532;72;81;1183
Volkswagen Passat 1.6 TDI 120 PS DSG Trendline;Volkswagen;Passat;Passat;Trendline;2017, 2018, 2019;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;206;250;120;10.8;1459;1832;4767;1456;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;107;4.49;4.00;4.70;66;9;5;Var;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;100;5116;1595;532;72;81;1183
Volkswagen Passat 1.6 TDI 120 PS DSG Highline;Volkswagen;Passat;Passat;Highline;2017, 2018, 2019;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;206;250;120;10.8;1459;1832;4767;1456;586;1152;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;107;4.49;4.00;4.70;66;9;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Manuel;Manuel;LED;Var;100;5116;1609;532;72;81;1183
Volkswagen Passat 1.6 TDI 120 PS Trendline;Volkswagen;Passat;Passat;Trendline;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1444;1832;4767;1456;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;109;4.50;3.80;4.90;66;6;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;LED;Var;100;5116;1583;508;72;81;1178
Volkswagen Passat 1.6 TDI 120 PS Comfortline;Volkswagen;Passat;Passat;Comfortline;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1444;1832;4767;1456;586;1152;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;109;4.50;3.80;4.90;66;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Manuel;LED;Var;100;5116;1595;508;72;81;1178
Volkswagen Passat 1.6 TDI 120 PS Highline;Volkswagen;Passat;Passat;Highline;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1444;1832;4767;1456;586;1152;5;235/45 R18;235;45%;18;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;109;4.50;3.80;4.90;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;Halojen;Var;100;5116;1611;508;72;81;1178
Volkswagen Passat 1.6 TDI BMT 120 PS DSG Trendline;Volkswagen;Passat;Passat;Trendline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1459;1832;4767;1456;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;106;4.39;3.90;4.60;66;6;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;LED;Var;100;5116;1583;508;73;81;1178
Volkswagen Passat 1.6 TDI BMT 120 PS Trendline;Volkswagen;Passat;Passat;Trendline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1444;1832;4767;1456;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;109;4.50;3.80;4.90;66;6;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;LED;Var;100;5116;1583;508;72;81;1178
Volkswagen Passat 1.6 TDI BMT 120 PS Comfortline;Volkswagen;Passat;Passat;Comfortline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1444;1832;4767;1456;586;1152;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;109;4.50;3.80;4.90;66;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Manuel;LED;Var;100;5116;1595;508;72;81;1178
Volkswagen Passat 1.6 TDI BMT 120 PS DSG Comfortline;Volkswagen;Passat;Passat;Comfortline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1459;1832;4767;1456;586;1152;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;106;4.39;3.90;4.60;66;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Manuel;LED;Var;100;5116;1595;508;73;81;1178
Volkswagen Passat 1.6 TDI BMT 120 PS DSG Highline;Volkswagen;Passat;Passat;Highline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1459;1832;4767;1456;586;1152;5;235/45 R18;235;45%;18;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6;106;4.39;3.90;4.60;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;Halojen;Var;100;5116;1611;508;73;81;1178
Volkswagen Passat 1.6 TDI BMT 120 PS Highline;Volkswagen;Passat;Passat;Highline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;206;250;120;10.8;1444;1832;4767;1456;586;1152;5;235/45 R18;235;45%;18;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;109;4.50;3.80;4.90;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;Halojen;Var;100;5116;1611;508;72;81;1178
Volkswagen Passat 2.0 TDI 150 PS DSG Comfortline;Volkswagen;Passat;Passat;Comfortline;2017, 2018, 2019;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;19.862;nan;218;340;150;8.7;1501;1832;4767;1456;586;1152;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;121;4.96;4.20;5.40;66;9;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;137;5116;1595;531;66;71;1191
Volkswagen Passat 2.0 TDI 150 PS DSG Highline;Volkswagen;Passat;Passat;Highline;2017, 2018, 2019;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;19.862;nan;218;340;150;8.7;1501;1832;4767;1456;586;1152;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;121;4.96;4.20;5.40;66;9;5;Var;Var;Var;Var;Otomatik Klima;Deri & Kumas;5;Manuel;Manuel;LED;Var;137;5116;1609;531;66;71;1191
Volkswagen Passat 2.0 TDI BMT 150 PS DSG Comfortline;Volkswagen;Passat;Passat;Comfortline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;218;340;150;8.7;1501;1832;4767;1456;586;1152;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 6;119;4.86;4.10;5.30;66;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Manuel;LED;Var;137;5116;1595;507;68;71;1187
Volkswagen Passat 2.0 TDI BMT 150 PS DSG Highline;Volkswagen;Passat;Passat;Highline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;218;340;150;8.7;1501;1832;4767;1456;586;1152;5;235/45 R18;235;45%;18;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 6;119;4.86;4.10;5.30;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;Halojen;Var;137;5116;1611;507;68;71;1187
Fiat Egea HB 1.3 Mjet 95 HP Easy Plus;Fiat;Egea Hb;Egea;Easy Plus;2016, 2017, 2018;Italya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;1.882;nan;180;200;95;12.0;1290;1792;4368;1495;380;1152;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;99;4.04;3.30;4.50;50;6;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;68;4711;1460;453;76;89;1079
Fiat Egea HB 1.3 Mjet 95 HP Urban;Fiat;Egea Hb;Egea;Urban;2021, 2022;Italya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;181;200;95;13.3;1295;1792;4368;1495;440;1152;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;119;4.50;3.80;4.90;50;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;61;4711;1460;453;75;89;1076
Fiat Egea HB 1.3 Mjet 95 HP Lounge;Fiat;Egea Hb;Egea;Lounge;2021;Italya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.372;nan;181;200;95;13.3;1295;1792;4368;1495;440;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;119;4.50;3.80;4.90;50;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;61;4711;1475;453;75;89;1076
Fiat Egea 1.6 Multijet 120 HP DCT Easy;Fiat;Egea;Egea;Easy;2018, 2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6.2;102;4.14;3.50;4.50;45;6;3;Yok;Var;Yok / Opsiyonel;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1527;467;73;81;1130
Fiat Egea 1.6 Multijet 120 HP DCT Mirror;Fiat;Egea;Egea;Mirror;2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6.2;102;4.14;3.50;4.50;45;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;7;Elektronik;Elektronik;Halojen;Yok;114;4893;1521;467;73;81;1130
Fiat Egea 1.6 Multijet 120 HP DCT Urban Plus;Fiat;Egea;Egea;Urban Plus;2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6.2;102;4.14;3.50;4.50;45;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Elektronik;Elektronik;Halojen;Yok;114;4893;1515;467;73;81;1130
Fiat Egea 1.6 Multijet 120 HP DCT Lounge Plus;Fiat;Egea;Egea;Lounge Plus;2017, 2018, 2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6.2;102;4.14;3.50;4.50;45;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1529;467;73;81;1130
Fiat Egea HB 1.6 Mjet 120 HP S-Design;Fiat;Egea Hb;Egea;S-Design;2019;Italya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;200;320;120;9.8;1295;1792;4368;1495;380;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;98;3.98;3.30;4.40;50;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4711;1475;453;73;81;1090
Fiat Egea 1.6 Mjet 120 HP DCT Mirror;Fiat;Egea;Egea;Mirror;2018;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;102;4.14;3.50;4.50;45;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;114;4893;1529;467;73;81;1130
Fiat Egea 1.6 Mjet 120 HP DCT Urban;Fiat;Egea;Egea;Urban;2017, 2018;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;102;4.14;3.50;4.50;45;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;114;4893;1529;467;73;81;1130
Fiat Egea HB 1.6 Mjet 120 HP Lounge Plus;Fiat;Egea Hb;Egea;Lounge Plus;2016, 2017, 2018;Italya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;200;320;120;9.8;1295;1792;4368;1495;380;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;98;3.98;3.30;4.40;50;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;114;4711;1475;453;73;81;1090
Fiat Egea 1.6 Multijet 120 HP DCT Lounge;Fiat;Egea;Egea;Lounge;2016, 2017;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;102;4.14;3.50;4.50;45;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;114;4893;1529;467;73;81;1130
Fiat Egea HB 1.6 Mjet 120 HP Urban Plus;Fiat;Egea Hb;Egea;Urban Plus;2016, 2017;Italya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;200;320;120;9.8;1295;1792;4368;1495;380;1152;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;98;3.98;3.30;4.40;50;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;114;4711;1475;453;73;81;1090
Fiat Egea 1.6 Multijet 120 HP DCT Urban;Fiat;Egea;Egea;Urban;2016;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;200;320;120;9.8;1295;1792;4532;1497;520;1152;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;102;4.14;3.50;4.50;45;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;114;4893;1527;467;73;81;1130
Fiat Egea 1.6 Multijet 130 HP Urban;Fiat;Egea;Egea;Urban;2021, 2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;212;320;130;9.6;1300;1792;4532;1497;520;1152;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;118;4.76;4.00;5.20;50;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;124;4893;1515;467;70;78;1132
