AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Diğer Özellikler,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (Elektrikli) - Menzil (WLTP-Şehir İçi),MOTOR (Elektrikli) - Motor Gücü,MOTOR (Elektrikli) - Ortalama Tüketim (Elk.),MOTOR (Elektrikli) - Şarj Süresi,MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Engelli Bireyler İçin ÖTV Muafiyeti,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon (WLTP),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km/WLTP),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1721 kg,,1800 mm,4600 mm,1525 mm,,,510 lt,,2024 Citroen e-C4 X 136 HP Shine Bold (4x2),,2024 Citroen e-C4 X 136 HP Shine Bold (4x2) Test Sürüşü Talep Sayfası,2024 Citroen e-C4 X 136 HP Shine Bold (4x2) Ürün Kataloğu,,,,260 nm,,50 kW/sa,,Yerleşik AC Şarj Cihazı (7.4 kW),,360 km,461 km,100 kW,15.3 kWsa/100km,"AC (7.4 kW) (%0 - %100) 7sa.30dk.
DC (100 kW) (%0 - %80) 30dk.
DC (50 kW) (%0 - %80) 55dk.",,,,,,10.0 saniye,150 km/s,260 nm,136 BG,Fransa,,Binek,Shine Bold,,Hatchback,2024,BEV (Elektrikli),,C,e-C4 X,Elektrik,https://www.epey.com/araba/2024-citroen-e-c4-x-136-hp-shine-bold-4x2.html,,,,,,,,,,,,,,,4 yıldız,2024 Citroen e-C4 X 136 HP Shine Bold (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,,Redüktör Şanzıman,
1721 kg,,1800 mm,4600 mm,1525 mm,,,510 lt,,2024 Citroen e-C4 X 156 HP Shine Bold (4x2),,2024 Citroen e-C4 X 156 HP Shine Bold (4x2) Test Sürüşü Talep Sayfası,2024 Citroen e-C4 X 156 HP Shine Bold (4x2) Ürün Kataloğu,,,,260 nm,,54 kW/sa,,Yerleşik AC Şarj Cihazı (7.4 kW),,417 km,565 km,115 kW,14.8 kWsa/100km,"AC (7.4 kW) (%0 - %100) 7sa.30dk.
DC (100 kW) (%0 - %80) 30dk.
DC (50 kW) (%0 - %80) 55dk.",,,,,,9.3 saniye,150 km/s,260 nm,156 BG,Fransa,,Binek,Shine Bold,,Hatchback,2024,BEV (Elektrikli),,C,e-C4 X,Elektrik,https://www.epey.com/araba/2024-citroen-e-c4-x-156-hp-shine-bold-4x2.html,,,,,,,,,,,,,,,4 yıldız,2024 Citroen e-C4 X 156 HP Shine Bold (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,,Redüktör Şanzıman,
1388 kg,,1839 mm,4446 mm,1520 mm,,,450 lt,,2024 Cupra Formentor 1.5 TSI ACT 150 HP DSG (4x2),,2024 Cupra Formentor 1.5 TSI ACT 150 HP DSG (4x2) Test Sürüşü Talep Sayfası,2024 Cupra Formentor 1.5 TSI ACT 150 HP DSG (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,8.9 saniye,203 km/s,250 nm,150 BG,İspanya > Almanya,,Binek,Formentor,,Coupe-SUV,2024,İçten Yanmalı (Standart),,C,Formentor,Benzin,https://www.epey.com/araba/2024-cupra-formentor-1-5-tsi-act-150-hp-dsg-4x2.html,,,,,,,,163 g/km,,7.2 lt,50 lt,,,,5 yıldız,2024 Cupra Formentor 1.5 TSI ACT 150 HP DSG (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1629 kg,,1839 mm,4450 mm,1510 mm,,,420 lt,,2024 Cupra Formentor VZ 1.4 e-Hybrid 245 HP DSG 4Drive (4x4),,2024 Cupra Formentor VZ 1.4 e-Hybrid 245 HP DSG 4Drive (4x4) Test Sürüşü Talep Sayfası,2024 Cupra Formentor VZ 1.4 e-Hybrid 245 HP DSG 4Drive (4x4) Ürün Kataloğu,,,,330 nm,,12.8 kW/sa,,,,55 km,,85 kW,16.1 kWsa/100km,"AC 2.3 kW (%0 - %100) 5 Saat
AC 3.6 kW (%0 - %100) 3 Saat 33 dk",Turbo,,4,1395 cc,TSI - Doğrudan Enjeksiyon,7.0 saniye,210 km/s,400 nm,310 BG,İspanya > Almanya,,Binek,Formentor VZ,,Coupe-SUV,2024,PHEV (Prizden Şarjlı HEV),,C,Formentor,Benzin & Elektrik,https://www.epey.com/araba/2024-cupra-formentor-vz-1-4-e-hybrid-245-hp-dsg-4drive-4x4.html,,,,,,,,35 g/km,,1.6 lt,40 lt,,,,5 yıldız,2024 Cupra Formentor VZ 1.4 e-Hybrid 245 HP DSG 4Drive (4x4) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,4x4 Çekişli,,,,,6 ileri,Otomatik,DSG (Yarı Otm.)
1569 kg,,1839 mm,4450 mm,1511 mm,,,420 lt,,2024 Cupra Formentor VZ 2.0 TSI 310 HP DSG 4Drive (4x4),,2024 Cupra Formentor VZ 2.0 TSI 310 HP DSG 4Drive (4x4) Test Sürüşü Talep Sayfası,2024 Cupra Formentor VZ 2.0 TSI 310 HP DSG 4Drive (4x4) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1984 cc,TSI - Doğrudan Enjeksiyon,4.9 saniye,250 km/s,400 nm,310 BG,İspanya > Almanya,,Binek,Formentor VZ,,Coupe-SUV,2024,İçten Yanmalı (Standart),,C,Formentor,Benzin,https://www.epey.com/araba/2024-cupra-formentor-vz-2-0-tsi-310-hp-dsg-4drive-4x4.html,,,,,,,,203 g/km,,9.0 lt,55 lt,,,,5 yıldız,2024 Cupra Formentor VZ 2.0 TSI 310 HP DSG 4Drive (4x4) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
975 kg,,1579 mm,3734 mm,1513 mm,,,290 lt,,2024 Dacia Spring 65 BG Extreme (4x2),,2024 Dacia Spring 65 BG Extreme (4x2) Test Sürüşü Talep Sayfası,2024 Dacia Spring 65 BG Extreme (4x2) Ürün Kataloğu,,,,113 nm,8 Yıl / 120.000 Km,26.8 kW/sa,Lityum İyon,,,120 km,310 km,48 kW,14.5 kWsa/100km,"AC (7.4 kW) (%0 - %100) 4sa.51dk.
DC (%0 - %80) 56dk",,,,,,13.7 saniye,125 km/s,113 nm,65 BG,Romanya > Fransa,,Binek,Extreme,,SUV,2024,BEV (Elektrikli),,A,Spring,Elektrik,https://www.epey.com/araba/2024-dacia-spring-65-bg-extreme-4x2.html,,,,,,,,,,,,,,,1 yıldız,2024 Dacia Spring 65 BG Extreme (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,
450 kg,,1500 mm,3700 mm,1660 mm,,200 lt,,,2024 EVRY Very,,,,,,,140 nm,,,Lityum İyon,Araçtan Araca Şarj,350 km,,,30 kW,,"AC (%30 - %80) 3 Saat
DC (%30 - %80) 25dk.",,,,,,,90 km/s,140 nm,40 BG,Türkiye,,Binek,,,Hatchback,2024,BEV (Elektrikli),,,Very,Elektrik,https://www.epey.com/araba/2024-evry-very.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415 kg,,1748 mm,3631 mm,1529 mm,,550 lt,185 lt,,2024 Fiat 500e HB 118 HP La Prima (4x2),,2024 Fiat 500e HB 118 HP La Prima (4x2) Test Sürüşü Talep Sayfası,2024 Fiat 500e HB 118 HP La Prima (4x2) Ürün Kataloğu,,,,220 nm,,42 kW/sa,Lityum İyon,,,320 km,,87 kW,14.4 kWsa/100km,"AC 3 Faz 11 kW (Mod 3) (%0 - %100) 4sa.15dk.
AC 3 kW (Mod 2) (%0 - %100) 15sa.15dk.
DC 85 kW (Mod 4)(%0 - %80) 35dk",,,,,,9.0 saniye,150 km/s,220 nm,118 BG,İtalya,,Binek,La Prima,,Hatchback,2024,BEV (Elektrikli),,B,500e,Elektrik,https://www.epey.com/araba/2024-fiat-500e-hb-118-hp-la-prima-4x2.html,,,,,,,,,,,,,,,4 yıldız,2024 Fiat 500e HB 118 HP La Prima (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,
1189 kg,,1748 mm,4568 mm,1458 mm,,,519 lt,,2024 Honda City 1.5L VTEC 121 PS Otomatik Executive,,2024 Honda City 1.5L VTEC 121 PS Otomatik Executive Test Sürüşü Talep Sayfası,2024 Honda City 1.5L VTEC 121 PS Otomatik Executive Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.5 saniye,198 km/s,145 nm,121 BG,Japonya,,Binek,Executive,,Sedan,2024,İçten Yanmalı (Standart),,B,City,Benzin,https://www.epey.com/araba/2024-honda-city-1-5l-vtec-121-ps-otomatik-executive.html,,,,,,,,139 g/km,,6.20 lt,40 lt,,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1779 kg,,1860 mm,4549 mm,1628 mm,,,428 lt,,2024 Hozon Neta U 160 HP (4x2),,2024 Hozon Neta U 160 HP (4x2) Test Sürüşü Talep Sayfası,,,,,210 nm,,68.2 kW/sa,Lityum Demir Fosfat (LFP),,,420 km,540 km,120 kW,16.5 kWsa/100km,"AC (%20 - %100) 8s 30dk.
DC (%30 - %80) 30dk.",,,,,,9.5 saniye,150 km/s,210 nm,160 BG,Çin,,Binek,,,SUV,2024,BEV (Elektrikli),,C,Neta U,Elektrik,https://www.epey.com/araba/2024-hozon-neta-u-160-hp-4x2.html,,,,,,,,,,,,,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,
1195 kg,,1775 mm,4180 mm,1500 mm,,1205 lt,411 lt,,2024 Hyundai BAYON 1.0 T-GDI 100 PS DCT Style (4x2),,2024 Hyundai BAYON 1.0 T-GDI 100 PS DCT Style (4x2) Test Sürüşü Talep Sayfası,2024 Hyundai BAYON 1.0 T-GDI 100 PS DCT Style (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,3,998 cc,GDI (Doğrudan Enjeksiyon),13.7 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Style,Var,Crossover,2024,İçten Yanmalı (Standart),,B,BAYON,Benzin,https://www.epey.com/araba/2024-hyundai-bayon-1-0-t-gdi-100-ps-dct-style-4x2.html,,,,,,,131 g/km,,5.8 lt,,40 lt,,,,4 yıldız,2024 Hyundai BAYON 1.0 T-GDI 100 PS DCT Style (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1132 kg,,1775 mm,4180 mm,1500 mm,,1205 lt,411 lt,,2024 Hyundai BAYON 1.4 MPI 100 PS Jump (4x2),,2024 Hyundai BAYON 1.4 MPI 100 PS Jump (4x2) Test Sürüşü Talep Sayfası,2024 Hyundai BAYON 1.4 MPI 100 PS Jump (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.6 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Jump,Var,Crossover,2024,İçten Yanmalı (Standart),,B,BAYON,Benzin,https://www.epey.com/araba/2024-hyundai-bayon-1-4-mpi-100-ps-jump-4x2.html,,,,,,,145 g/km,,6.4 lt,,40 lt,,,,4 yıldız,2024 Hyundai BAYON 1.4 MPI 100 PS Jump (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1162 kg,,1775 mm,4180 mm,1500 mm,,1205 lt,411 lt,,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Elite (4x2),,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Elite (4x2) Test Sürüşü Talep Sayfası,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Elite (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,13.7 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Elite,Var,Crossover,2024,İçten Yanmalı (Standart),,B,BAYON,Benzin,https://www.epey.com/araba/2024-hyundai-bayon-1-4-mpi-100-ps-otomatik-elite-4x2.html,,,,,,,150 g/km,,6.6 lt,,40 lt,,,,4 yıldız,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Elite (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1162 kg,,1775 mm,4180 mm,1500 mm,,1205 lt,411 lt,,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Jump (4x2),,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Jump (4x2) Test Sürüşü Talep Sayfası,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Jump (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,13.7 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Jump,Var,Crossover,2024,İçten Yanmalı (Standart),,B,BAYON,Benzin,https://www.epey.com/araba/2024-hyundai-bayon-1-4-mpi-100-ps-otomatik-jump-4x2.html,,,,,,,150 g/km,,6.6 lt,,40 lt,,,,4 yıldız,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Jump (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1162 kg,,1775 mm,4180 mm,1500 mm,,1205 lt,411 lt,,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Style (4x2),,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Style (4x2) Test Sürüşü Talep Sayfası,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Style (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,13.7 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Style,Var,Crossover,2024,İçten Yanmalı (Standart),,B,BAYON,Benzin,https://www.epey.com/araba/2024-hyundai-bayon-1-4-mpi-100-ps-otomatik-style-4x2.html,,,,,,,150 g/km,,6.6 lt,,40 lt,,,,4 yıldız,2024 Hyundai BAYON 1.4 MPI 100 PS Otomatik Style (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1905 kg,,1890 mm,4635 mm,1605 mm,,1587 lt,527 lt,,2024 Hyundai IONIQ 5 170 PS Progressive (4x2),,2024 Hyundai IONIQ 5 170 PS Progressive (4x2) Test Sürüşü Talep Sayfası,2024 Hyundai IONIQ 5 170 PS Progressive (4x2) Ürün Kataloğu,,,,350 nm,,58.0 kW/sa,Lityum İyon,Entegre AC Şarj Cihazı (11 kW),,384 km,,125 kW,16.7 kWsa/100km,"AC 4sa.59dk.
DC 350 kW (%10 - %80) 18 dk.
DC 50 kW (%10 - %80) 46 dk.",,,,,,8.5 saniye,185 km/s,350 nm,170 BG,Güney Kore,,Binek,Progressive,,Hatchback,2024,BEV (Elektrikli),,D,IONIQ 5,Elektrik,https://www.epey.com/araba/2024-hyundai-ioniq-5-170-ps-progressive-4x2.html,,,,,,,,,,,,,,,5 yıldız,2024 Hyundai IONIQ 5 170 PS Progressive (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Arkadan İtişli,,,,,1 ileri,Redüktör Şanzıman,
2120 kg,,1890 mm,4635 mm,1605 mm,,1587 lt,527 lt,,2024 Hyundai IONIQ 5 325 PS Progressive (4x4),,2024 Hyundai IONIQ 5 325 PS Progressive (4x4) Test Sürüşü Talep Sayfası,2024 Hyundai IONIQ 5 325 PS Progressive (4x4) Ürün Kataloğu,,,,605 nm,,77.4 kW/sa,Lityum İyon,Entegre AC Şarj Cihazı (11 kW),,454 km,,239 kW,19.1 kWsa/100km,"AC 7sa.20dk.
DC 350 kW (%10 - %80) 18 dk.
DC 50 kW (%10 - %80) 62 dk.",,,,,,5.1 saniye,185 km/s,605 nm,325 BG,Güney Kore,,Binek,Progressive,,Hatchback,2024,BEV (Elektrikli),,D,IONIQ 5,Elektrik,https://www.epey.com/araba/2024-hyundai-ioniq-5-325-ps-progressive-4x4.html,,,,,,,,,,,,,,,5 yıldız,2024 Hyundai IONIQ 5 325 PS Progressive (4x4) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,4x4 Çekişli,,,,,1 ileri,Redüktör Şanzıman,
1850 kg,,1880 mm,4855 mm,1495 mm,Ön Bagaj Bölmesi 45 Lt.,,401 lt,,2024 Hyundai IONIQ 6 151 BG Progressive (4x2),,2024 Hyundai IONIQ 6 151 BG Progressive (4x2) Test Sürüşü Talep Sayfası,2024 Hyundai IONIQ 6 151 BG Progressive (4x2) Ürün Kataloğu,,,,350 nm,,53.0 kW/sa,,,,429 km,,111 kW,13.9 kWsa/100km,"AC 5sa.25dk.
DC (50 kW) (%10 - %80) 58dk.
DC 350 kW (%10 - %80) 18 dk.",,,,,,8.8 saniye,185 km/s,350 nm,151 BG,Güney Kore,,Binek,Progressive,,Sedan,2024,BEV (Elektrikli),,D,IONIQ 6,Elektrik,https://www.epey.com/araba/2024-hyundai-ioniq-6-151-bg-progressive-4x2.html,,,,,,,,,,,,,,,5 yıldız,2024 Hyundai IONIQ 6 151 BG Progressive (4x2) NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,Arkadan İtişli,,,,,,Redüktör Şanzıman,
2113 kg,,1880 mm,4855 mm,1495 mm,Ön Bagaj Bölmesi 14.5 Lt.,,401 lt,,2024 Hyundai IONIQ 6 325 BG Progressive (4x4),,2024 Hyundai IONIQ 6 325 BG Progressive (4x4) Test Sürüşü Talep Sayfası,2024 Hyundai IONIQ 6 325 BG Progressive (4x4) Ürün Kataloğu,,,,605 nm,,77.4 kW/sa,,,,519 km,,239 kW,16.9 kWsa/100km,"AC 7sa.10dk.
DC (50 kW) (%10 - %80) 73dk.
DC 350 kW (%10 - %80) 18 dk.",,,,,,5.1 saniye,185 km/s,605 nm,325 BG,Güney Kore,,Binek,Progressive,,Sedan,2024,BEV (Elektrikli),,D,IONIQ 6,Elektrik,https://www.epey.com/araba/2024-hyundai-ioniq-6-325-bg-progressive-4x4.html,,,,,,,,,,,,,,,5 yıldız,2024 Hyundai IONIQ 6 325 BG Progressive (4x4) NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,4x4 Çekişli,,,,,,Redüktör Şanzıman,
1724 kg,,1865 mm,4500 mm,1680 mm,,,424 lt,,2024 JAECOO 7 1.6 145 HP DCT Evolve (4X4),,2024 JAECOO 7 1.6 145 HP DCT Evolve (4X4) Test Sürüşü Talep Sayfası,,,,,,,,,,,,,,,,Turbo,,4,1598 cc,Direkt Enjeksiyon,10.8 saniye,180 km/s,275 nm,145 BG,Çin,,Binek,Evolve,,SUV,2024,İçten Yanmalı (Standart),,C,JAECOO 7,Benzin,https://www.epey.com/araba/2024-jaecoo-7-1-6-145-hp-dct-evolve-4x4.html,,,,,,,182 g/km,,7.8 lt,,57 lt,,6.9 lt,10.5 lt,,,,,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1599 kg,,1865 mm,4500 mm,1680 mm,,,424 lt,,2024 JAECOO 7 1.6 145 HP DCT Revive (4X2),,2024 JAECOO 7 1.6 145 HP DCT Revive (4X2) Test Sürüşü Talep Sayfası,,,,,,,,,,,,,,,,Turbo,,4,1598 cc,Direkt Enjeksiyon,10.8 saniye,180 km/s,275 nm,145 BG,Çin,,Binek,Revive,,SUV,2024,İçten Yanmalı (Standart),,C,JAECOO 7,Benzin,https://www.epey.com/araba/2024-jaecoo-7-1-6-145-hp-dct-revive-4x2.html,,,,,,,169 g/km,,7.2 lt,,51 lt,,6.4 lt,9.9 lt,,,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1595 kg,,1780 mm,4080 mm,1530 mm,,,380 lt,,2024 Jeep Avenger Electric 156 HP Summit (4x2),,2024 Jeep Avenger Electric 156 HP Summit (4x2) Test Sürüşü Talep Sayfası,,,,,260 nm,,54 kW/sa,Lityum-İyon NMC (Nikel-Manganez-Kobalt),,,392 km,,115 kW,15.8 kWsa/100km,"AC 3 Faz 11 kW (0 - %100) 5s 6 dk.
DC (100 kW) (%0 - %80) 24dk.",,,,,,9.0 saniye,150 km/s,260 nm,156 BG,Amerika > İtalya,,Binek,Summit,,SUV,2024,BEV (Elektrikli),,B,Avenger,Elektrik,https://www.epey.com/araba/2024-jeep-avenger-electric-156-hp-summit-4x2.html,,,,,,,,,,,,,,,,,,,,,,,,,Önden Çekişli,,,,,,Otomatik,
1725 kg,,1850 mm,4300 mm,1560 mm,Ön Bagaj Bölmesi 25 Lt,1251 lt,460 lt,,2024 Kia EV3 204 PS Otomatik Elegance St.Menzil (4x2),,2024 Kia EV3 204 PS Otomatik Elegance St.Menzil (4x2) Test Sürüşü Talep Sayfası,2024 Kia EV3 204 PS Otomatik Elegance St.Menzil (4x2) Ürün Kataloğu,,,,283 nm,,58.3 kW/sa,,,,435 km,583 km,150 kW,14.9 kWsa/100km,"AC 3 Faz 11 kW (%10 - %100) 5sa.20dk.
DC (50 kW) (%10 - %80) 55dk.
DC 350 kW (%10 - %80) 29 dk.",,,,,,7.5 saniye,170 km/s,283 nm,204 BG,Güney Kore,,Binek,Elegance,,SUV,2024,BEV (Elektrikli),,B,EV3,Elektrik,https://www.epey.com/araba/2024-kia-ev3-204-ps-otomatik-elegance-st-menzil-4x2.html,,,,,,,,,,,,,,,,,,,,,,,,,Önden Çekişli,,,,,1 ileri,Otomatik,
1810 kg,,1850 mm,4310 mm,1570 mm,Ön Bagaj Bölmesi 25 Lt,1251 lt,460 lt,,2024 Kia EV3 204 PS Otomatik Elegance Uz.Menzil (4x2),,2024 Kia EV3 204 PS Otomatik Elegance Uz.Menzil (4x2) Test Sürüşü Talep Sayfası,2024 Kia EV3 204 PS Otomatik Elegance Uz.Menzil (4x2) Ürün Kataloğu,,,,283 nm,,81.4 kW/sa,,,,604 km,772 km,150 kW,14.9 kWsa/100km,"AC 3 Faz 11 kW (%10 - %100) 7sa.15dk.
DC (50 kW) (%10 - %80) 79dk.
DC 350 kW (%10 - %80) 31 dk.",,,,,,7.7 saniye,170 km/s,283 nm,204 BG,Güney Kore,,Binek,Elegance,,SUV,2024,BEV (Elektrikli),,B,EV3,Elektrik,https://www.epey.com/araba/2024-kia-ev3-204-ps-otomatik-elegance-uz-menzil-4x2.html,,,,,,,,,,,,,,,,,,,,,,,,,Önden Çekişli,,,,,1 ileri,Otomatik,
