AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1446 kg,,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2022 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil,,,,,,,2022 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.7 saniye,172 km/s,250 nm,100 BG,Fransa,,Binek,Feel Stil,MPV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2022-citroen-berlingo-1-5-bluehdi-100-hp-feel-stil.html,,,,,,,114 g/km,4.1 lt,50 lt,Euro 6.2,3.9 lt,4.4 lt,,4 yıldız,2022 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1461 kg,,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil,,,,,,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,Fransa,,Binek,Feel Stil,MPV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2022-citroen-berlingo-1-5-bluehdi-130-hp-eat8-feel-stil.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,4 yıldız,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1461 kg,,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold,,,,,,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,Fransa,,Binek,Shine Bold,MPV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2022-citroen-berlingo-1-5-bluehdi-130-hp-eat8-shine-bold.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,4 yıldız,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1461 kg,,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine,,,,,,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,Fransa,,Binek,Shine,MPV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2022-citroen-berlingo-1-5-bluehdi-130-hp-eat8-shine.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,4 yıldız,2022 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1467 kg,,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP Shine,,,,,,,2022 Citroen Berlingo 1.5 BlueHDi 130 HP Shine Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,10.3 saniye,185 km/s,300 nm,130 BG,Fransa,,Binek,Shine,MPV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2022-citroen-berlingo-1-5-bluehdi-130-hp-shine.html,,,,,,,117 g/km,4.3 lt,50 lt,Euro 6.2,4.0 lt,4.7 lt,,4 yıldız,2022 Citroen Berlingo 1.5 BlueHDi 130 HP Shine NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1165 kg,,1748 mm,4416 mm,1477 mm,,506 lt,,2022 Citroen C-Elysee 1.5 BlueHDi 100 HP Shine,,,,,,,2022 Citroen C-Elysee 1.5 BlueHDi 100 HP Shine Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,9.0 saniye,191 km/s,250 nm,100 BG,Fransa,,Binek,Shine,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,B,C-Elysee,Dizel,https://www.epey.com/araba/2022-citroen-c-elysee-1-5-bluehdi-100-hp-shine.html,,,,,,,97 g/km,3.7 lt,50 lt,,3.3 lt,4.3 lt,,3 yıldız,2022 Citroen C-Elysee 1.5 BlueHDi 100 HP Shine NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
,,1749 mm,3996 mm,1490 mm,,300 lt,,2022 Citroen C3 1.2 PureTech 110 HP EAT6 Shine,,,,,,,2022 Citroen C3 1.2 PureTech 110 HP EAT6 Shine Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,10.0 saniye,193 km/s,205 nm,110 BG,Fransa,,Binek,Shine,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,B,C3,Benzin,https://www.epey.com/araba/2022-citroen-c3-1-2-puretech-110-hp-eat6-shine.html,,,,,,,109 g/km,4.8 lt,47 lt,,4.3 lt,5.7 lt,,4 yıldız,2022 Citroen C3 1.2 PureTech 110 HP EAT6 Shine NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
,,1749 mm,3996 mm,1490 mm,,300 lt,,2022 Citroen C3 1.2 PureTech 110 HP EAT6 Feel Bold,,,,,,,2022 Citroen C3 1.2 PureTech 110 HP EAT6 Feel Bold Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,10.0 saniye,193 km/s,205 nm,110 BG,Fransa,,Binek,Feel Bold,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,B,C3,Benzin,https://www.epey.com/araba/2022-citroen-c3-1-2-puretech-110-hp-ss-eat6-feel-bold.html,,,,,,,109 g/km,4.8 lt,47 lt,,4.3 lt,5.7 lt,,4 yıldız,2022 Citroen C3 1.2 PureTech 110 HP EAT6 Feel Bold NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
,,1749 mm,3996 mm,1490 mm,,300 lt,,2022 Citroen C3 1.2 PureTech 83 HP S&S Feel,,,,,,,2022 Citroen C3 1.2 PureTech 83 HP S&S Feel Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Atmosferik,,3,1199 cc,Direkt Enjeksiyon,13.3 saniye,169 km/s,118 nm,83 BG,Fransa,,Binek,Feel,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,B,C3,Benzin,https://www.epey.com/araba/2022-citroen-c3-1-2-puretech-83-hp-ss-feel.html,,,,,,,96 g/km,4.2 lt,47 lt,,3.8 lt,4.9 lt,,4 yıldız,2022 Citroen C3 1.2 PureTech 83 HP S&S Feel NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1280 kg,,1765 mm,4155 mm,1648 mm,520 lt,410 lt,,2022 Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Feel (4x2),,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Çok Noktadan Enjeksiyon,9.2 saniye,195 km/s,230 nm,130 BG,Fransa,,Binek,Feel,SUV,2022,İçten Yanmalı (Standart),1576 tl/yıl,B,C3 Aircross,Benzin,https://www.epey.com/araba/2022-citroen-c3-aircross-1-2-puretech-130-hp-eat6-feel-4x2.html,,,,,,,114 g/km,5.0 lt,45 lt,,4.5 lt,5.9 lt,,5 yıldız,2022 Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Feel (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
1280 kg,,1765 mm,4155 mm,1648 mm,520 lt,410 lt,,2022 Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Feel Bold (4x2),,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Çok Noktadan Enjeksiyon,9.2 saniye,195 km/s,230 nm,130 BG,Fransa,,Binek,Feel Bold,SUV,2022,İçten Yanmalı (Standart),1576 tl/yıl,B,C3 Aircross,Benzin,https://www.epey.com/araba/2022-citroen-c3-aircross-1-2-puretech-130-hp-eat6-feel-bold-4x2.html,,,,,,,114 g/km,5.0 lt,45 lt,,4.5 lt,5.9 lt,,5 yıldız,2022 Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Feel Bold (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
1280 kg,,1765 mm,4155 mm,1648 mm,520 lt,410 lt,,2022 Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Shine (4x2),,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Çok Noktadan Enjeksiyon,9.2 saniye,195 km/s,230 nm,130 BG,Fransa,,Binek,Shine,SUV,2022,İçten Yanmalı (Standart),1576 tl/yıl,B,C3 Aircross,Benzin,https://www.epey.com/araba/2022-citroen-c3-aircross-1-2-puretech-130-hp-eat6-shine-4x2.html,,,,,,,114 g/km,5.0 lt,45 lt,,4.5 lt,5.9 lt,,5 yıldız,2022 Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Shine (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
1335 kg,,1765 mm,4155 mm,1648 mm,520 lt,410 lt,,2022 Citroen C3 Aircross 1.5 BlueHDi 120 HP EAT6 Feel Bold (4x2),,,,,,,,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,9.6 saniye,179 km/s,300 nm,120 BG,Fransa,,Binek,Feel Bold,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,B,C3 Aircross,Dizel,https://www.epey.com/araba/2022-citroen-c3-aircross-1-5-bluehdi-120-hp-eat6-feel-bold-4x2.html,,,,,,,106 g/km,4.0 lt,45 lt,,3.8 lt,4.4 lt,,5 yıldız,2022 Citroen C3 Aircross 1.5 BlueHDi 120 HP EAT6 Feel Bold (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
1335 kg,,1765 mm,4155 mm,1648 mm,520 lt,410 lt,,2022 Citroen C3 Aircross 1.5 BlueHDi 120 HP EAT6 Shine (4x2),,,,,,,,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,9.6 saniye,179 km/s,300 nm,120 BG,Fransa,,Binek,Shine,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,B,C3 Aircross,Dizel,https://www.epey.com/araba/2022-citroen-c3-aircross-1-5-bluehdi-120-hp-eat6-shine-4x2.html,,,,,,,106 g/km,4.0 lt,45 lt,,3.8 lt,4.4 lt,,5 yıldız,2022 Citroen C3 Aircross 1.5 BlueHDi 120 HP EAT6 Shine (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
1209 kg,10.90 mt.,1834 mm,4360 mm,1525 mm,,380 lt,,2022 Citroen C4 1.2 PureTech 100 HP Feel,,,,,,2022 Citroen C4 1.2 PureTech 100 HP Feel Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,12.0 saniye,184 km/s,205 nm,100 BG,Fransa,,Binek,Feel,SUV,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,C4,Benzin,https://www.epey.com/araba/2022-citroen-c4-1-2-puretech-100-hp-feel.html,,,,,,,108 g/km,4.6 lt,50 lt,,4.0 lt,5.7 lt,,4 yıldız,2022 Citroen C4 1.2 PureTech 100 HP Feel NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1263 kg,10.90 mt.,1834 mm,4360 mm,1525 mm,,380 lt,,2022 Citroen C4 1.2 PureTech 130 HP EAT8 Feel Bold,,,,,,2022 Citroen C4 1.2 PureTech 130 HP EAT8 Feel Bold Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,10.2 saniye,200 km/s,230 nm,130 BG,Fransa,,Binek,Feel Bold,SUV,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,C4,Benzin,https://www.epey.com/araba/2022-citroen-c4-1-2-puretech-130-hp-eat8-feel-bold.html,,,,,,,112 g/km,5.0 lt,50 lt,,4.6 lt,5.8 lt,,4 yıldız,2022 Citroen C4 1.2 PureTech 130 HP EAT8 Feel Bold NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1263 kg,10.90 mt.,1834 mm,4360 mm,1525 mm,,380 lt,,2022 Citroen C4 1.2 PureTech 130 HP EAT8 Shine,,,,,,2022 Citroen C4 1.2 PureTech 130 HP EAT8 Shine Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,10.2 saniye,200 km/s,230 nm,130 BG,Fransa,,Binek,Shine,SUV,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,C4,Benzin,https://www.epey.com/araba/2022-citroen-c4-1-2-puretech-130-hp-eat8-shine.html,,,,,,,112 g/km,5.0 lt,50 lt,,4.6 lt,5.8 lt,,4 yıldız,2022 Citroen C4 1.2 PureTech 130 HP EAT8 Shine NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1271 kg,10.90 mt.,1834 mm,4360 mm,1525 mm,,380 lt,,2022 Citroen C4 1.2 PureTech 155 HP EAT8 Shine Bold,,,,,,2022 Citroen C4 1.2 PureTech 155 HP EAT8 Shine Bold Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,9.2 saniye,208 km/s,250 nm,155 BG,Fransa,,Binek,Shine,SUV,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,C4,Benzin,https://www.epey.com/araba/2022-citroen-c4-1-2-puretech-155-hp-eat8-shine-bold.html,,,,,,,116 g/km,5.2 lt,50 lt,,4.6 lt,6.1 lt,,4 yıldız,2022 Citroen C4 1.2 PureTech 155 HP EAT8 Shine Bold NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1314 kg,10.90 mt.,1834 mm,4360 mm,1525 mm,,380 lt,,2022 Citroen C4 1.5 BlueHDi 130 HP EAT8 Feel Bold,,,,,,2022 Citroen C4 1.5 BlueHDi 130 HP EAT8 Feel Bold Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,10.6 saniye,206 km/s,300 nm,130 BG,Fransa,,Binek,Feel Bold,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,C4,Dizel,https://www.epey.com/araba/2022-citroen-c4-1-5-bluehdi-130-hp-eat8-feel-bold.html,,,,,,,99 g/km,3.8 lt,50 lt,,3.6 lt,4.2 lt,,4 yıldız,2022 Citroen C4 1.5 BlueHDi 130 HP EAT8 Feel Bold NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1314 kg,10.90 mt.,1834 mm,4360 mm,1525 mm,,380 lt,,2022 Citroen C4 1.5 BlueHDi 130 HP EAT8 Shine Bold,,,,,,2022 Citroen C4 1.5 BlueHDi 130 HP EAT8 Shine Bold Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,10.6 saniye,206 km/s,300 nm,130 BG,Fransa,,Binek,Shine Bold,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,C4,Dizel,https://www.epey.com/araba/2022-citroen-c4-1-5-bluehdi-130-hp-eat8-shine-bold.html,,,,,,,99 g/km,3.8 lt,50 lt,,3.6 lt,4.2 lt,,4 yıldız,2022 Citroen C4 1.5 BlueHDi 130 HP EAT8 Shine Bold NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1505 kg,,1859 mm,4500 mm,1695 mm,,580 lt,,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Feel Bold (4x2),,,,,,,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Feel Bold (4x2) Ürün Kataloğu,,,,,,,,,Turbo,BlueHDi (Çevreci & Ekonomik Motor),4,1499 cc,Common Rail Direkt Enjeksiyon,10.6 saniye,188 km/s,300 nm,130 BG,Fransa,,Binek,Feel Bold,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,C5 Aircross,Dizel,https://www.epey.com/araba/2022-citroen-c5-aircross-1-5-bluehdi-130-hp-eat8-feel-bold-4x2.html,,,,,,,108 g/km,4.1 lt,53 lt,Euro 6.2,3.9 lt,4.4 lt,,4 yıldız,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Feel Bold (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1505 kg,,1859 mm,4500 mm,1695 mm,,580 lt,,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Shine (4x2),,,,,,,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Shine (4x2) Ürün Kataloğu,,,,,,,,,Turbo,BlueHDi (Çevreci & Ekonomik Motor),4,1499 cc,Common Rail Direkt Enjeksiyon,10.6 saniye,188 km/s,300 nm,130 BG,Fransa,,Binek,Shine,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,C5 Aircross,Dizel,https://www.epey.com/araba/2022-citroen-c5-aircross-1-5-bluehdi-130-hp-eat8-shine-4x2.html,,,,,,,108 g/km,4.1 lt,53 lt,Euro 6.2,3.9 lt,4.4 lt,,4 yıldız,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Shine (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1505 kg,,1859 mm,4500 mm,1695 mm,,580 lt,,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Shine Bold (4x2),,,,,,,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Shine Bold (4x2) Ürün Kataloğu,,,,,,,,,Turbo,BlueHDi (Çevreci & Ekonomik Motor),4,1499 cc,Common Rail Direkt Enjeksiyon,10.6 saniye,188 km/s,300 nm,130 BG,Fransa,,Binek,Shine Bold,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,C5 Aircross,Dizel,https://www.epey.com/araba/2022-citroen-c5-aircross-1-5-bluehdi-130-hp-eat8-shine-bold-4x2.html,,,,,,,108 g/km,4.1 lt,53 lt,Euro 6.2,3.9 lt,4.4 lt,,4 yıldız,2022 Citroen C5 Aircross 1.5 BlueHDi 130 HP EAT8 Shine Bold (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1505 kg,,1859 mm,4500 mm,1695 mm,,580 lt,,2022 Citroen C5 Aircross 1.6 180 HP EAT8 Shine (4x2),,,,,,,2022 Citroen C5 Aircross 1.6 180 HP EAT8 Shine (4x2) Ürün Kataloğu,,,,,,,,,Turbo,PureTech (Yakıt Tasarrufu),4,1598 cc,Direkt Enjeksiyon,8.2 saniye,216 km/s,250 nm,180 BG,Fransa,,Binek,Shine,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,C5 Aircross,Benzin,https://www.epey.com/araba/2022-citroen-c5-aircross-1-6-180-hp-eat8-shine-4x2.html,,,,,,,132 g/km,5.8 lt,53 lt,Euro 6.2,5.0 lt,7.2 lt,,4 yıldız,2022 Citroen C5 Aircross 1.6 180 HP EAT8 Shine (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1505 kg,,1859 mm,4500 mm,1695 mm,,580 lt,,2022 Citroen C5 Aircross 1.6 180 HP EAT8 Shine Bold (4x2),,,,,,,2022 Citroen C5 Aircross 1.6 180 HP EAT8 Shine Bold (4x2) Ürün Kataloğu,,,,,,,,,Turbo,PureTech (Yakıt Tasarrufu),4,1598 cc,Direkt Enjeksiyon,8.2 saniye,216 km/s,250 nm,180 BG,Fransa,,Binek,Shine Bold,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,C5 Aircross,Benzin,https://www.epey.com/araba/2022-citroen-c5-aircross-1-6-180-hp-eat8-shine-bold-4x2.html,,,,,,,132 g/km,5.8 lt,53 lt,Euro 6.2,5.0 lt,7.2 lt,,4 yıldız,2022 Citroen C5 Aircross 1.6 180 HP EAT8 Shine Bold (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
