AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Engelli Bireyler İçin ÖTV Muafiyeti,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Yerden Yükseklik (Azami),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1520 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Comfortline (4x2),2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Comfortline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Comfortline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,10.2 saniye,192 km/s,200 nm,130 BG,Almanya,,Binek,Comfortline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Benzin,https://www.epey.com/araba/2019-volkswagen-tiguan-1-5-tsi-act-130-ps-comfortline-4x2.html,,,,,,130 g/km,5.7 lt,58 lt,,5.0 lt,7.1 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Comfortline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1520 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Trendline (4x2),2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Trendline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Trendline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,10.2 saniye,192 km/s,200 nm,130 BG,Almanya,,Binek,Trendline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Benzin,https://www.epey.com/araba/2019-volkswagen-tiguan-1-5-tsi-act-130-ps-trendline-4x2.html,,,,,,130 g/km,5.7 lt,58 lt,,5.0 lt,7.1 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.5 TSI ACT 130 PS Trendline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1550 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Comfortline (4x2),2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Comfortline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Comfortline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,200 km/s,250 nm,150 BG,Almanya,,Binek,Comfortline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Benzin,https://www.epey.com/araba/2019-volkswagen-tiguan-1-5-tsi-act-150-ps-dsg-comfortline-4x2.html,,,,,,138 g/km,6.1 lt,58 lt,,5.4 lt,7.1 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Comfortline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1550 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Highline (4x2),2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Highline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Highline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,200 km/s,250 nm,150 BG,Almanya,,Binek,Highline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Benzin,https://www.epey.com/araba/2019-volkswagen-tiguan-1-5-tsi-act-150-ps-dsg-highline-4x2.html,,,,,,138 g/km,6.1 lt,58 lt,,5.4 lt,7.1 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Highline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1550 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Trendline (4x2),2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Trendline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Trendline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,200 km/s,250 nm,150 BG,Almanya,,Binek,Trendline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Benzin,https://www.epey.com/araba/2019-volkswagen-tiguan-1-5-tsi-act-150-ps-dsg-trendline-4x2.html,,,,,,138 g/km,6.1 lt,58 lt,,5.4 lt,7.1 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.5 TSI ACT 150 PS DSG Trendline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1585 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.6 TDI 115 PS Comfortline (4x2),2019 Volkswagen Tiguan 1.6 TDI 115 PS Comfortline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.6 TDI 115 PS Comfortline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.4 saniye,185 km/s,280 nm,115 BG,Almanya,,Binek,Comfortline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Dizel,https://www.epey.com/araba/2019-volkswagen-tiguan-1-6-tdi-115-ps-comfortline-4x2.html,,,,,,129 g/km,4.9 lt,58 lt,,4.4 lt,5.9 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.6 TDI 115 PS Comfortline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1585 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.6 TDI 115 PS Highline (4x2),2019 Volkswagen Tiguan 1.6 TDI 115 PS Highline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.6 TDI 115 PS Highline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.4 saniye,185 km/s,280 nm,115 BG,Almanya,,Binek,Highline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Dizel,https://www.epey.com/araba/2019-volkswagen-tiguan-1-6-tdi-115-ps-highline-4x2.html,,,,,,129 g/km,4.9 lt,58 lt,,4.4 lt,5.9 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.6 TDI 115 PS Highline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1585 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 1.6 TDI 115 PS Trendline (4x2),2019 Volkswagen Tiguan 1.6 TDI 115 PS Trendline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 1.6 TDI 115 PS Trendline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.4 saniye,185 km/s,280 nm,115 BG,Almanya,,Binek,Trendline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Dizel,https://www.epey.com/araba/2019-volkswagen-tiguan-1-6-tdi-115-ps-trendline-4x2.html,,,,,,129 g/km,4.9 lt,58 lt,,4.4 lt,5.9 lt,,,5 yıldız,2019 Volkswagen Tiguan 1.6 TDI 115 PS Trendline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1725 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Comfortline (4x4),2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Comfortline (4x4) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Comfortline (4x4) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,9.4 saniye,200 km/s,340 nm,150 BG,Almanya,,Binek,Comfortline,,SUV,2019,İçten Yanmalı (Standart),5003 tl/yıl,C,Tiguan,Dizel,https://www.epey.com/araba/2019-volkswagen-tiguan-2-0-tdi-150-ps-dsg-comfortline-4x4.html,,,,,,143 g/km,5.4 lt,60 lt,,5.1 lt,6.2 lt,,,5 yıldız,2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Comfortline (4x4) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1725 kg,11.50 mt.,1839 mm,4486 mm,1643 mm,,615 lt,,2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Highline (4x4),2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Highline (4x4) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Highline (4x4) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,9.4 saniye,200 km/s,340 nm,150 BG,Almanya,,Binek,Highline,,SUV,2019,İçten Yanmalı (Standart),5003 tl/yıl,C,Tiguan,Dizel,https://www.epey.com/araba/2019-volkswagen-tiguan-2-0-tdi-150-ps-dsg-highline-4x4.html,,,,,,143 g/km,5.4 lt,60 lt,,5.1 lt,6.2 lt,,,5 yıldız,2019 Volkswagen Tiguan 2.0 TDI 150 PS DSG Highline (4x4) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1590 kg,11.90 mt.,1839 mm,4701 mm,1674 mm,1775 lt,700 lt,230 lt,2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Comfortline (4x2),2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Comfortline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Comfortline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.5 saniye,198 km/s,250 nm,150 BG,Almanya,,Binek,Comfortline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Benzin,https://www.epey.com/araba/2019-volkswagen-tiguan-allspace-1-5-tsi-150-ps-dsg-comfortline-4x2.html,,,,,,145 g/km,6.4 lt,58 lt,,5.7 lt,7.6 lt,,,5 yıldız,2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Comfortline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DSG (Yarı Otm.)
1590 kg,11.90 mt.,1839 mm,4701 mm,1674 mm,1775 lt,700 lt,230 lt,2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Highline (4x2),2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Highline (4x2) Test Sürüşü Talep Sayfası,2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Highline (4x2) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.5 saniye,198 km/s,250 nm,150 BG,Almanya,,Binek,Highline,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Tiguan,Benzin,https://www.epey.com/araba/2019-volkswagen-tiguan-allspace-1-5-tsi-150-ps-dsg-highline-4x2.html,,,,,,145 g/km,6.4 lt,58 lt,,5.7 lt,7.6 lt,,,5 yıldız,2019 Volkswagen Tiguan Allspace 1.5 TSI 150 PS DSG Highline (4x2) NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DSG (Yarı Otm.)
2010 kg,13.20 mt.,1904 mm,5304 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS (5+1 Uzun),,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS (5+1 Uzun) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,15.9 saniye,163 km/s,250 nm,114 BG,Almanya,City Van,Ticari,Standart,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-114-ps-5plus1-uzun.html,,,,,,,6.4 lt,70 lt,,5.7 lt,7.5 lt,,,,,,,6.7 m³,990 kg,3000 kg,1700 mm,1943 mm,1410 mm,1244 mm,,Önden Çekişli,,,2200 kg,750 kg,5 ileri,Manuel,
1947 kg,11.90 mt.,1904 mm,4904 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS (5+1),,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS (5+1) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,15.9 saniye,163 km/s,250 nm,114 BG,Almanya,City Van,Ticari,Standart,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-114-ps-5plus1.html,,,,,,,6.2 lt,70 lt,,5.6 lt,7.3 lt,,,,,,,5.8 m³,1053 kg,3000 kg,1700 mm,1543 mm,1410 mm,1244 mm,,Önden Çekişli,,,2500 kg,750 kg,5 ileri,Manuel,
2010 kg,13.20 mt.,1904 mm,5304 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS Comfortline (5+1 Uzun),,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS Comfortline (5+1 Uzun) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,15.9 saniye,163 km/s,250 nm,114 BG,Almanya,City Van,Ticari,Comfortline,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-114-ps-comfortline-5plus1-uzun.html,,,,,,,6.4 lt,70 lt,,5.7 lt,7.5 lt,,,,,,,6.7 m³,990 kg,3000 kg,1700 mm,1943 mm,1410 mm,1244 mm,,Önden Çekişli,,,2200 kg,750 kg,5 ileri,Manuel,
1947 kg,11.90 mt.,1904 mm,4904 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS Comfortline (5+1),,2019 Volkswagen Transporter City Van 2.0 TDI 114 PS Comfortline (5+1) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,15.9 saniye,163 km/s,250 nm,114 BG,Almanya,City Van,Ticari,Comfortline,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-114-ps-comfortline-5plus1.html,,,,,,,6.2 lt,70 lt,,5.6 lt,7.3 lt,,,,,,,5.8 m³,1053 kg,3000 kg,1700 mm,1543 mm,1410 mm,1244 mm,,Önden Çekişli,,,2500 kg,750 kg,5 ileri,Manuel,
2040 kg,13.20 mt.,1904 mm,5304 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS (5+1 Uzun),,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS (5+1 Uzun) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,181 km/s,340 nm,150 BG,Almanya,City Van,Ticari,Standart,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-150-ps-5plus1-uzun.html,,,,,,,6.4 lt,70 lt,,5.7 lt,7.7 lt,,,,,,,6.7 m³,960 kg,3000 kg,1700 mm,1943 mm,1410 mm,1244 mm,,Önden Çekişli,,,2500 kg,750 kg,6 ileri,Manuel,
1977 kg,11.90 mt.,1904 mm,4904 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS (5+1),,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS (5+1) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,181 km/s,340 nm,150 BG,Almanya,City Van,Ticari,Standart,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-150-ps-5plus1.html,,,,,,,6.2 lt,70 lt,,5.5 lt,7.4 lt,,,,,,,5.8 m³,1023 kg,3000 kg,1700 mm,1543 mm,1410 mm,1244 mm,,Önden Çekişli,,,2500 kg,750 kg,6 ileri,Manuel,
2040 kg,13.20 mt.,1904 mm,5304 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS Comfortline (5+1 Uzun),,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS Comfortline (5+1 Uzun) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,181 km/s,340 nm,150 BG,Almanya,City Van,Ticari,Comfortline,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-150-ps-comfortline-5plus1-uzun.html,,,,,,,6.4 lt,70 lt,,5.7 lt,7.7 lt,,,,,,,6.7 m³,960 kg,3000 kg,1700 mm,1943 mm,1410 mm,1244 mm,,Önden Çekişli,,,2500 kg,750 kg,6 ileri,Manuel,
1977 kg,11.90 mt.,1904 mm,4904 mm,1990 mm,,,,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS Comfortline (5+1),,2019 Volkswagen Transporter City Van 2.0 TDI 150 PS Comfortline (5+1) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,181 km/s,340 nm,150 BG,Almanya,City Van,Ticari,Comfortline,,Kombi Van,2019,İçten Yanmalı (Standart),2064 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-volkswagen-transporter-city-van-2-0-tdi-150-ps-comfortline-5plus1.html,,,,,,,6.2 lt,70 lt,,5.5 lt,7.4 lt,,,,,,,5.8 m³,1023 kg,3000 kg,1700 mm,1543 mm,1410 mm,1244 mm,,Önden Çekişli,,,2500 kg,750 kg,6 ileri,Manuel,
