AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Desteği,SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Özellikleri,TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1385 kg,,1780 mm,4630 mm,1435 mm,,471 lt,,2020 Toyota Corolla 1.8 Hybrid 122 PS e-CVT Passion,,,,,,2020 Toyota Corolla 1.8 Hybrid 122 PS e-CVT Passion Test Sürüşü Talep Sayfası,2020 Toyota Corolla 1.8 Hybrid 122 PS e-CVT Passion Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166
Toyota İletişim Merkezi 0212 354 0354",Var,163 nm,,Nikel-Metal Hidrid (NiMH),,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),11.0 saniye,180 km/s,142 nm,122 BG,,,Japonya,Sedan,Binek,Passion,Sedan,2020,HEV (Benzinli & Elektrikli),3557 tl/yıl,C,Corolla,Benzin & Elektrik,https://www.epey.com/araba/2020-toyota-corolla-1-8-hybrid-122-ps-e-cvt-passion.html,,,,,,,87 g/km,3.8 lt,43 lt,,3.9 lt,3.6 lt,,,5 yıldız,2020 Toyota Corolla 1.8 Hybrid 122 PS e-CVT Passion NCAP/ANCAP Web Sayfası,2013,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
980 kg,9.60 mt.,1695 mm,3945 mm,1520 mm,,286 lt,,2020 Toyota Yaris 1.0 69 PS Life,,,,,,2020 Toyota Yaris 1.0 69 PS Life Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.0 69 PS Life Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166",Var,,,,,Atmosferik,,3,998 cc,Elektronik Doğrudan Enjeksiyon,15.3 saniye,155 km/s,95 nm,69 BG,,,Japonya,,Binek,Life,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-0-69-ps-life.html,,,,,,,109 g/km,4.7 lt,42 lt,Euro 6,4.2 lt,5.6 lt,,,5 yıldız,2020 Toyota Yaris 1.0 69 PS Life NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1045 kg,9.60 mt.,1695 mm,3945 mm,1520 mm,,286 lt,,2020 Toyota Yaris 1.5 111 PS Fun Special,,,,,,2020 Toyota Yaris 1.5 111 PS Fun Special Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 111 PS Fun Special Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166",Var,,,,,Atmosferik,,4,1496 cc,Elektronik Doğrudan Enjeksiyon,11.0 saniye,175 km/s,136 nm,111 BG,,,Japonya,,Binek,Fun Special,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-5-111-ps-fun-special.html,,,,,,,109 g/km,4.7 lt,42 lt,Euro 6,4.2 lt,5.6 lt,,,5 yıldız,2020 Toyota Yaris 1.5 111 PS Fun Special NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1065 kg,9.60 mt.,1695 mm,3945 mm,1520 mm,,286 lt,,2020 Toyota Yaris 1.5 111 PS Multidrive S Fun Special,,,,,,2020 Toyota Yaris 1.5 111 PS Multidrive S Fun Special Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 111 PS Multidrive S Fun Special Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166",Var,,,,,Atmosferik,,4,1496 cc,Elektronik Doğrudan Enjeksiyon,11.2 saniye,175 km/s,136 nm,111 BG,,,Japonya,,Binek,Fun Special,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-5-111-ps-multidrive-s-fun-special.html,,,,,,,108 g/km,4.8 lt,42 lt,Euro 6,4.1 lt,6.0 lt,,,5 yıldız,2020 Toyota Yaris 1.5 111 PS Multidrive S Fun Special NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Otomatik)
1065 kg,9.60 mt.,1695 mm,3945 mm,1520 mm,,286 lt,,2020 Toyota Yaris 1.5 111 PS Multidrive S Style X-Trend,,,,,,2020 Toyota Yaris 1.5 111 PS Multidrive S Style X-Trend Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 111 PS Multidrive S Style X-Trend Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166",Var,,,,,Atmosferik,,4,1496 cc,Elektronik Doğrudan Enjeksiyon,11.2 saniye,175 km/s,136 nm,111 BG,,,Japonya,,Binek,Style X-Trend,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-5-111-ps-multidrive-s-style-x-trend.html,,,,,,,108 g/km,4.8 lt,42 lt,Euro 6,4.1 lt,6.0 lt,,,5 yıldız,2020 Toyota Yaris 1.5 111 PS Multidrive S Style X-Trend NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Otomatik)
1200 kg,,1745 mm,3940 mm,1500 mm,,286 lt,,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream X-Pack,,,,,,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream X-Pack Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream X-Pack Ürün Kataloğu,,,,,,,,,,3,1490 cc,Çok Noktalı Direkt Enjeksiyon,10.2 saniye,180 km/s,153 nm,125 BG,,,Japonya,,Binek,Dream X-Pack,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-5-125-ps-multidrive-s-dream-x-pack.html,,,,,,,112 g/km,4.9 lt,42 lt,,4.3 lt,6.0 lt,,,5 yıldız,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream X-Pack NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Otomatik)
1200 kg,,1745 mm,3940 mm,1500 mm,,286 lt,,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream,,,,,,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream Ürün Kataloğu,,,,,,,,,,3,1490 cc,Çok Noktalı Direkt Enjeksiyon,10.2 saniye,180 km/s,153 nm,125 BG,,,Japonya,,Binek,Dream,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-5-125-ps-multidrive-s-dream.html,,,,,,,112 g/km,4.9 lt,42 lt,,4.3 lt,6.0 lt,,,5 yıldız,2020 Toyota Yaris 1.5 125 PS Multidrive S Dream NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Otomatik)
1200 kg,,1745 mm,3940 mm,1500 mm,,286 lt,,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame X-Pack,,,,,,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame X-Pack Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame X-Pack Ürün Kataloğu,,,,,,,,,,3,1490 cc,Çok Noktalı Direkt Enjeksiyon,10.2 saniye,180 km/s,153 nm,125 BG,,,Japonya,,Binek,Flame X-Pack,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-5-125-ps-multidrive-s-flame-x-pack.html,,,,,,,112 g/km,4.9 lt,42 lt,,4.3 lt,6.0 lt,,,5 yıldız,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame X-Pack NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Otomatik)
1200 kg,,1745 mm,3940 mm,1500 mm,,286 lt,,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame,,,,,,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame Ürün Kataloğu,,,,,,,,,,3,1490 cc,Çok Noktalı Direkt Enjeksiyon,10.2 saniye,180 km/s,153 nm,125 BG,,,Japonya,,Binek,Flame,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Yaris,Benzin,https://www.epey.com/araba/2020-toyota-yaris-1-5-125-ps-multidrive-s-flame.html,,,,,,,112 g/km,4.9 lt,42 lt,,4.3 lt,6.0 lt,,,5 yıldız,2020 Toyota Yaris 1.5 125 PS Multidrive S Flame NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Otomatik)
1165 kg,11.00 mt.,1695 mm,3945 mm,1520 mm,,286 lt,,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Cool,,,,,,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Cool Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Cool Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166",Var,169 nm,18.6 kW/sa,Nikel-Metal Hidrid (NiMH),,Atmosferik,,4,1497 cc,EFI (Elektronik Yakıt Püskürtme),12.0 saniye,165 km/s,111 nm,100 BG,,,Japonya,,Binek,Cool,Hatchback,2020,HEV (Benzinli & Elektrikli),,B,Yaris,Benzin & Elektrik,https://www.epey.com/araba/2020-toyota-yaris-1-5-hybrid-100-ps-e-cvt-cool.html,,,,,,,82 g/km,3.6 lt,36 lt,Euro 6,3.6 lt,3.3 lt,,,5 yıldız,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Cool NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1165 kg,11.00 mt.,1695 mm,3945 mm,1520 mm,,286 lt,,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Spirit X-Trend,,,,,,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Spirit X-Trend Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Spirit X-Trend Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166",Var,169 nm,18.6 kW/sa,Nikel-Metal Hidrid (NiMH),,Atmosferik,,4,1497 cc,EFI (Elektronik Yakıt Püskürtme),12.0 saniye,165 km/s,111 nm,100 BG,,,Japonya,,Binek,Spirit X-Trend,Hatchback,2020,HEV (Benzinli & Elektrikli),,B,Yaris,Benzin & Elektrik,https://www.epey.com/araba/2020-toyota-yaris-1-5-hybrid-100-ps-e-cvt-spirit-x-trend.html,,,,,,,82 g/km,3.6 lt,36 lt,Euro 6,3.6 lt,3.3 lt,,,5 yıldız,2020 Toyota Yaris 1.5 Hybrid 100 PS e-CVT Spirit X-Trend NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1235 kg,,1745 mm,3940 mm,1500 mm,,286 lt,,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Dream,,,,,,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Dream Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Dream Ürün Kataloğu,,,,141 nm,,Lityum İyon,,,,3,1490 cc,Çok Noktalı Direkt Enjeksiyon,9.7 saniye,175 km/s,120 nm,116 BG,,,Japonya,,Binek,Dream,Hatchback,2020,HEV (Benzinli & Elektrikli),2014 tl/yıl,B,Yaris,Benzin & Elektrik,https://www.epey.com/araba/2020-toyota-yaris-1-5-hybrid-116-ps-e-cvt-dream.html,,,,,,,73 g/km,3.2 lt,36 lt,,3.6 lt,2.7 lt,,,5 yıldız,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Dream NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT
1235 kg,,1745 mm,3940 mm,1500 mm,,286 lt,,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Flame,,,,,,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Flame Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Flame Ürün Kataloğu,,,,141 nm,,Lityum İyon,,,,3,1490 cc,Çok Noktalı Direkt Enjeksiyon,9.7 saniye,175 km/s,120 nm,116 BG,,,Japonya,,Binek,Flame,Hatchback,2020,HEV (Benzinli & Elektrikli),2014 tl/yıl,B,Yaris,Benzin & Elektrik,https://www.epey.com/araba/2020-toyota-yaris-1-5-hybrid-116-ps-e-cvt-flame.html,,,,,,,73 g/km,3.2 lt,36 lt,,3.6 lt,2.7 lt,,,5 yıldız,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Flame NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT
1235 kg,,1745 mm,3940 mm,1500 mm,,286 lt,,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Passion,,,,,,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Passion Test Sürüşü Talep Sayfası,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Passion Ürün Kataloğu,,,,141 nm,,Lityum İyon,,,,3,1490 cc,Çok Noktalı Direkt Enjeksiyon,9.7 saniye,175 km/s,120 nm,116 BG,,,Japonya,,Binek,Passion,Hatchback,2020,HEV (Benzinli & Elektrikli),2014 tl/yıl,B,Yaris,Benzin & Elektrik,https://www.epey.com/araba/2020-toyota-yaris-1-5-hybrid-116-ps-e-cvt-passion.html,,,,,,,73 g/km,3.2 lt,36 lt,,3.6 lt,2.7 lt,,,5 yıldız,2020 Toyota Yaris 1.5 Hybrid 116 PS e-CVT Passion NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT
2286 kg,11.90 mt.,1954 mm,5254 mm,1834 mm,,,,2020 Volkswagen Amarok 3.0 TDI 204 PS Otomatik Canyon (4x4),,,,,,,2020 Volkswagen Amarok 3.0 TDI 204 PS Otomatik Canyon (4x4) Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,6,2967 cc,Common Rail Direkt Enjeksiyon,9.0 saniye,186 km/s,500 nm,204 BG,,,Almanya,,Ticari,Canyon,Pick-Up,2020,İçten Yanmalı (Standart),10741 tl/yıl,Mini Ticari,Amarok,Dizel,https://www.epey.com/araba/2020-volkswagen-amarok-3-0-tdi-204-ps-otomatik-canyon-4x4.html,,,,,,,,8.1 lt,80 lt,Euro 6,4.6 lt,9.0 lt,,,4 yıldız,2020 Volkswagen Amarok 3.0 TDI 204 PS Otomatik Canyon (4x4) NCAP/ANCAP Web Sayfası,2010,Var,,620 kg,2820 kg,1620 mm,1555 mm,,1222 mm,4x4 Çekişli,,,,,8 ileri,Otomatik,
2286 kg,11.90 mt.,1954 mm,5254 mm,1834 mm,,,,2020 Volkswagen Amarok 3.0 TDI 204 PS Otomatik Highline (4x4),,,,,,,2020 Volkswagen Amarok 3.0 TDI 204 PS Otomatik Highline (4x4) Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,6,2967 cc,Common Rail Direkt Enjeksiyon,9.0 saniye,186 km/s,500 nm,204 BG,,,Almanya,,Ticari,Highline,Pick-Up,2020,İçten Yanmalı (Standart),10741 tl/yıl,Mini Ticari,Amarok,Dizel,https://www.epey.com/araba/2020-volkswagen-amarok-3-0-tdi-204-ps-otomatik-highline-4x4.html,,,,,,,,8.1 lt,80 lt,Euro 6,7.6 lt,9.0 lt,,,4 yıldız,2020 Volkswagen Amarok 3.0 TDI 204 PS Otomatik Highline (4x4) NCAP/ANCAP Web Sayfası,2010,Var,,620 kg,2820 kg,1620 mm,1555 mm,,1222 mm,4x4 Çekişli,,,,,8 ileri,Otomatik,
2053 kg,,1954 mm,5254 mm,1834 mm,,,,2020 Volkswagen Amarok 3.0 TDI 258 PS Otomatik Aventura (4x4),,,,,,,2020 Volkswagen Amarok 3.0 TDI 258 PS Otomatik Aventura (4x4) Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,6,2967 cc,Common Rail Direkt Enjeksiyon,7.6 saniye,205 km/s,580 nm,258 BG,,,Almanya,,Ticari,Aventura,Pick-Up,2020,İçten Yanmalı (Standart),10741 tl/yıl,Mini Ticari,Amarok,Dizel,https://www.epey.com/araba/2020-volkswagen-amarok-3-0-tdi-258-ps-otomatik-aventura-4x4.html,,,,,,,,8.4 lt,80 lt,Euro 6,7.9 lt,9.2 lt,,,4 yıldız,2020 Volkswagen Amarok 3.0 TDI 258 PS Otomatik Aventura (4x4) NCAP/ANCAP Web Sayfası,2010,Var,,620 kg,2820 kg,1620 mm,1555 mm,,1222 mm,4x4 Çekişli,,,,,8 ileri,Otomatik,
1382 kg,11.10 mt.,1793 mm,4408 mm,1858 mm,2852 lt,750 lt,,2020 Volkswagen Caddy 2.0 TDI 102 PS Comfortline,,,,,,,2020 Volkswagen Caddy 2.0 TDI 102 PS Comfortline Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.9 saniye,172 km/s,250 nm,102 BG,,,Almanya,Combi,Ticari,Comfortline,Kombi,2020,İçten Yanmalı (Standart),2311 tl/yıl,Hafif Ticari,Caddy,Dizel,https://www.epey.com/araba/2020-volkswagen-caddy-2-0-tdi-102-ps-comfortline.html,,,,,,,130 g/km,4.9 lt,55 lt,Euro 6,4.4 lt,5.9 lt,,,4 yıldız,2020 Volkswagen Caddy 2.0 TDI 102 PS Comfortline NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1417 kg,11.10 mt.,1793 mm,4408 mm,1858 mm,2852 lt,750 lt,,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Comfortline,,,,,,,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Comfortline Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,13.0 saniye,170 km/s,250 nm,102 BG,,,Almanya,Combi,Ticari,Comfortline,Kombi,2020,İçten Yanmalı (Standart),2311 tl/yıl,Hafif Ticari,Caddy,Dizel,https://www.epey.com/araba/2020-volkswagen-caddy-2-0-tdi-102-ps-dsg-comfortline.html,,,,,,,137 g/km,5.2 lt,55 lt,Euro 6,4.8 lt,5.9 lt,,,4 yıldız,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Comfortline NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DSG (Yarı Otm.)
1417 kg,11.10 mt.,1793 mm,4408 mm,1858 mm,2852 lt,750 lt,,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Exclusive,,,,,,,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Exclusive Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,13.0 saniye,170 km/s,250 nm,102 BG,,,Almanya,Combi,Ticari,Exclusive,Kombi,2020,İçten Yanmalı (Standart),2311 tl/yıl,Hafif Ticari,Caddy,Dizel,https://www.epey.com/araba/2020-volkswagen-caddy-2-0-tdi-102-ps-dsg-exclusive.html,,,,,,,137 g/km,5.2 lt,55 lt,Euro 6,4.8 lt,5.9 lt,,,4 yıldız,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Exclusive NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DSG (Yarı Otm.)
1417 kg,11.10 mt.,1793 mm,4408 mm,1858 mm,2852 lt,750 lt,,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Trendline,,,,,,,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Trendline Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,13.0 saniye,170 km/s,250 nm,102 BG,,,Almanya,Combi,Ticari,Trendline,Kombi,2020,İçten Yanmalı (Standart),2311 tl/yıl,Hafif Ticari,Caddy,Dizel,https://www.epey.com/araba/2020-volkswagen-caddy-2-0-tdi-102-ps-dsg-trendline.html,,,,,,,137 g/km,5.2 lt,55 lt,Euro 6,4.8 lt,5.9 lt,,,4 yıldız,2020 Volkswagen Caddy 2.0 TDI 102 PS DSG Trendline NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DSG (Yarı Otm.)
1382 kg,11.10 mt.,1793 mm,4408 mm,1858 mm,2852 lt,750 lt,,2020 Volkswagen Caddy 2.0 TDI 102 PS Exclusive,,,,,,,2020 Volkswagen Caddy 2.0 TDI 102 PS Exclusive Ürün Kataloğu,,"Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.9 saniye,172 km/s,250 nm,102 BG,,,Almanya,Combi,Ticari,Exclusive,Kombi,2020,İçten Yanmalı (Standart),2311 tl/yıl,Hafif Ticari,Caddy,Dizel,https://www.epey.com/araba/2020-volkswagen-caddy-2-0-tdi-102-ps-exclusive.html,,,,,,,130 g/km,4.9 lt,55 lt,Euro 6,4.4 lt,5.9 lt,,,4 yıldız,2020 Volkswagen Caddy 2.0 TDI 102 PS Exclusive NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
